Standardized,ISO3,Region,Subregion1,Subregion
Liberia,LBR,Africa,Western Africa,Sub-Saharah Africa
Libya,LBY,Africa,Northern Africa,Northern Africa and Western Asia
Saint Lucia,LCA,South America,Caribbean,Latin America and Caribbean
Sri Lanka,LKA,Asia,Southern Asia,Central and Southern Asia
Lesotho,LSO,Africa,Southern Africa,Sub-Saharah Africa
Lithuania,LTU,Europe,Northern Europe,Europe
Luxembourg,LUX,Europe,Western Europe,Europe
Latvia,LVA,Europe,Northern Europe,Europe
Macao,MAC,Asia,Eastern Asia,Eastern Asia
Morocco,MAR,Africa,Northern Africa,Northern Africa and Western Asia
Monaco,MCO,Europe,Western Europe,Europe
Moldova,MDA,Europe,Eastern Europe,Europe
Madagascar,MDG,Africa,Eastern Africa,Sub-Saharah Africa
Maldives,MDV,Asia,Southern Asia,Central and Southern Asia
Mexico,MEX,South America,Northern America,Northern and Central America
Marshall Islands,MHL,Oceania,Micronesia,Oceania
North Macedonia,MKD,Europe,Southern Europe,Europe
Mali,MLI,Africa,Western Africa,Sub-Saharah Africa
Malta,MLT,Europe,Southern Europe,Europe
Myanmar,MMR,Asia,South-Eastern Asia,South-Eastern Asia
Montenegro,MNE,Europe,Southern Europe,Europe
Mongolia,MNG,Asia,Eastern Asia,Eastern Asia
Northern Mariana Islands,MNP,Oceania,Micronesia,Oceania
Mozambique,MOZ,Africa,Eastern Africa,Sub-Saharah Africa
Mauritania,MRT,Africa,Western Africa,Sub-Saharah Africa
Mauritius,MUS,Africa,Eastern Africa,Sub-Saharah Africa
Malawi,MWI,Africa,Eastern Africa,Sub-Saharah Africa
Malaysia,MYS,Asia,South-Eastern Asia,South-Eastern Asia
Namibia,NAM,Africa,Southern Africa,Sub-Saharah Africa
New Caledonia,NCL,Oceania,Melanesia,Oceania
Niger,NER,Africa,Western Africa,Sub-Saharah Africa
Nigeria,NGA,Africa,Western Africa,Sub-Saharah Africa
Nicaragua,NIC,South America,Central America,Northern and Central America
Netherlands,NLD,Europe,Western Europe,Europe
Norway,NOR,Europe,Northern Europe,Europe
Nepal,NPL,Asia,Southern Asia,Central and Southern Asia
New Zealand,NZL,Oceania,Australia and New Zealand,Oceania
Oman,OMN,Asia,Western Asia,Northern Africa and Western Asia
Pakistan,PAK,Asia,Southern Asia,Central and Southern Asia
Panama,PAN,South America,Central America,Northern and Central America
Peru,PER,South America,South America,Latin America and Caribbean
Philippines,PHL,Asia,South-Eastern Asia,South-Eastern Asia
Papua New Guinea,PNG,Oceania,Melanesia,Oceania
Poland,POL,Europe,Eastern Europe,Europe
Puerto Rico,PRI,South America,Caribbean,Latin America and Caribbean
North Korea,PRK,Asia,Eastern Asia,Eastern Asia
Portugal,PRT,Europe,Southern Europe,Europe
Paraguay,PRY,South America,South America,Latin America and Caribbean
Palestine,PSE,Asia,Western Asia,Northern Africa and Western Asia
French Polynesia,PYF,Oceania,Polynesia,Oceania
Qatar,QAT,Asia,Western Asia,Northern Africa and Western Asia
Romania,ROU,Europe,Eastern Europe,Europe
Russia,RUS,Europe,Eastern Europe,Europe
Rwanda,RWA,Africa,Eastern Africa,Sub-Saharah Africa
Saudi Arabia,SAU,Asia,Western Asia,Northern Africa and Western Asia
Sudan,SDN,Africa,Northern Africa,Northern Africa and Western Asia
Senegal,SEN,Africa,Western Africa,Sub-Saharah Africa
Singapore,SGP,Asia,South-Eastern Asia,South-Eastern Asia
Solomon Islands,SLB,Oceania,Melanesia,Oceania
Sierra Leone,SLE,Africa,Western Africa,Sub-Saharah Africa
El Salvador,SLV,South America,Central America,Northern and Central America
Somalia,SOM,Africa,Eastern Africa,Sub-Saharah Africa
Serbia,SRB,Europe,Southern Europe,Europe
South Sudan,SSD,Africa,Middle Africa,Sub-Saharah Africa
Suriname,SUR,South America,South America,Latin America and Caribbean
Slovakia,SVK,Europe,Eastern Europe,Europe
Slovenia,SVN,Europe,Southern Europe,Europe
Sweden,SWE,Europe,Northern Europe,Europe
Eswatini,SWZ,Africa,Southern Africa,Sub-Saharah Africa
Sint Maarten,SXM,South America,Caribbean,Latin America and Caribbean
Seychelles,SYC,Africa,Eastern Africa,Sub-Saharah Africa
Syria,SYR,Asia,Western Asia,Northern Africa and Western Asia
Chad,TCD,Africa,Middle Africa,Sub-Saharah Africa
Togo,TGO,Africa,Western Africa,Sub-Saharah Africa
Thailand,THA,Asia,South-Eastern Asia,South-Eastern Asia
Tajikistan,TJK,Asia,Central Asia,Central and Southern Asia
Timor-Leste,TLS,Asia,South-Eastern Asia,South-Eastern Asia
Tonga,TON,Oceania,Polynesia,Oceania
Trinidad and Tobago,TTO,South America,Caribbean,Latin America and Caribbean
Tunisia,TUN,Africa,Northern Africa,Northern Africa and Western Asia
Turkey,TUR,Asia,Western Asia,Northern Africa and Western Asia
Taiwan,TWN,Asia,Eastern Asia,Eastern Asia
Tanzania,TZA,Africa,Eastern Africa,Sub-Saharah Africa
Uganda,UGA,Africa,Eastern Africa,Sub-Saharah Africa
Ukraine,UKR,Europe,Eastern Europe,Europe
Uruguay,URY,South America,South America,Latin America and Caribbean
USA,USA,North America,Northern America,Northern and Central America
Uzbekistan,UZB,Asia,Central Asia,Central and Southern Asia
Venezuela,VEN,South America,South America,Latin America and Caribbean
US Virgin Islands,VIR,South America,Caribbean,Latin America and Caribbean
Vietnam,VNM,Asia,South-Eastern Asia,South-Eastern Asia
Vanuatu,VUT,Oceania,Melanesia,Oceania
Samoa,WSM,Oceania,Polynesia,Oceania
Yemen,YEM,Asia,Western Asia,Northern Africa and Western Asia
South Africa,ZAF,Africa,Southern Africa,Sub-Saharah Africa
Zambia,ZMB,Africa,Southern Africa,Sub-Saharah Africa
Zimbabwe,ZWE,Africa,Eastern Africa,Sub-Saharah Africa
Kosovo,XKX,Asia,Eastern Europe,Europe
