PMID,Amount,Country,Region,ISO3
10726785,15,USA,North America,USA
10726794,183,Sweden,Europe,SWE
10728540,122,UK,Europe,GBR
10730601,231,USA,North America,USA
10730603,78,USA,North America,USA
10731173,38,Finland,Europe,FIN
10731405,427,USA,North America,USA
10731407,21,USA,North America,USA
10731495,10,USA,North America,USA
10731531,50,Italy,Europe,ITA
10731537,62,Israel,Middle East,ISR
10731538,1593,USA,North America,USA
10731543,15,Japan,Asia-Pacific,JPN
10731544,184,USA,North America,USA
10732883,159,Denmark,Europe,DNK
10732887,101,UK,Europe,GBR
10732888,401,USA,North America,USA
10737133,72,Japan,Asia-Pacific,JPN
10737446,900,USA,North America,USA
10738049,403,Canada,North America,CAN
10739490,16,USA,North America,USA
10739784,140,USA,North America,USA
10741842,112,USA,North America,USA
10746118,252,Australia,Asia-Pacific,AUS
10747265,58,Nigeria,Africa,NGA
10749962,106,Netherlands,Europe,NLD
10750574,37,Netherlands,Europe,NLD
10750679,171,USA,North America,USA
10751205,163,Australia,Asia-Pacific,AUS
10753273,67,UK,Europe,GBR
10755397,145,Italy,Europe,ITA
10755457,56,USA,North America,USA
10756219,18,USA,North America,USA
10756406,434,Taiwan,Asia-Pacific,TWN
10756410,47,Belgium,Europe,BEL
10758949,392,USA,North America,USA
10758950,182,USA,North America,USA
10758957,100,Norway,Europe,NOR
10758987,71,USA,North America,USA
10759770,21,Italy,Europe,ITA
10760103,158,USA,North America,USA
10760105,178,USA,North America,USA
10760307,553,USA,North America,USA
10761749,256,France,Europe,FRA
10761807,769,USA,North America,USA
10763075,160,Israel,Middle East,ISR
10764306,20,Switzerland,Europe,CHE
10764365,181,UK,Europe,GBR
10764366,136,UK,Europe,GBR
10764367,171,UK,Europe,GBR
10764700,118,Italy,Europe,ITA
10766682,55,USA,North America,USA
10767783,213,USA,North America,USA
10768961,106,UK,Europe,GBR
10770746,65,Switzerland,Europe,CHE
10770766,268,Vietnam,Asia-Pacific,VNM
10770980,142,USA,North America,USA
10772694,36,Brazil,South America,BRA
10776007,102,UK,Europe,GBR
10778374,405,USA,North America,USA
10780756,202,France,Europe,FRA
10781115,80,Germany,Europe,DEU
10781117,18,UK,Europe,GBR
10781507,403,UK,Europe,GBR
10785215,150,UK,Europe,GBR
10785219,123,Netherlands,Europe,NLD
10785225,70,Turkey,Middle East,TUR
10785238,15,Netherlands,Europe,NLD
10792202,34,Thailand,Asia-Pacific,THA
10792383,22,Norway,Europe,NOR
10792560,97,Sweden,Europe,SWE
10794337,852,USA,North America,USA
10795943,246,USA,North America,USA
10795944,86,USA,North America,USA
10795953,60,USA,North America,USA
10797038,204,UK,Europe,GBR
10799425,17,Pakistan,Asia-Pacific,PAK
10799790,97,USA,North America,USA
10799791,129,USA,North America,USA
10799795,222,USA,North America,USA
10799796,30,USA,North America,USA
10800424,149,USA,North America,USA
10800431,115,USA,North America,USA
10801969,4757,USA,North America,USA
10805622,152,USA,North America,USA
10805823,256,Canada,North America,CAN
10805891,40,USA,North America,USA
10807440,96,USA,North America,USA
10807441,154,USA,North America,USA
10807447,30,Denmark,Europe,DNK
10807453,113,USA,North America,USA
10807457,447,Germany,Europe,DEU
10807465,18,Germany,Europe,DEU
10807468,20,USA,North America,USA
10807619,751,UK,Europe,GBR
10807893,101,UK,Europe,GBR
10810000,790,Sweden,Europe,SWE
10810001,34,Sweden,Europe,SWE
10811042,812,Denmark,Europe,DNK
10811043,133,Denmark,Europe,DNK
10811045,180,Sweden,Europe,SWE
10811496,48,Switzerland,Europe,CHE
10812737,200,Nepal,Asia-Pacific,NPL
10814655,495,France,Europe,FRA
10815784,299,USA,North America,USA
10815785,132,Japan,Asia-Pacific,JPN
10816184,128,USA,North America,USA
10817729,25,USA,North America,USA
10817793,688,UK,Europe,GBR
10818026,386,UK,Europe,GBR
10824072,520,USA,North America,USA
10824665,147,Netherlands,Europe,NLD
10827388,179,USA,North America,USA
10828010,217,Germany,Europe,DEU
10831074,198,USA,North America,USA
10833208,76,USA,North America,USA
10834865,313,Netherlands,Europe,NLD
10834891,144,UK,Europe,GBR
10834894,346,Australia,Asia-Pacific,AUS
10835489,54,Japan,Asia-Pacific,JPN
10837379,224,Ireland,Europe,IRL
10838532,393,USA,North America,USA
10840264,2346,USA,North America,USA
10840268,2293,USA,North America,USA
10841242,146,USA,North America,USA
10841243,49,USA,North America,USA
10841872,60,Germany,Europe,DEU
10844622,52,USA,North America,USA
10845898,541,France,Europe,FRA
10846272,179,Australia,Asia-Pacific,AUS
10846306,13,Denmark,Europe,DNK
10846514,143,Netherlands,Europe,NLD
10849375,28,USA,North America,USA
10853928,28,Italy,Europe,ITA
10855738,226,Sweden,Europe,SWE
10856009,355,Argentina,South America,ARG
10856472,28,Netherlands,Europe,NLD
10856481,46,Netherlands,Europe,NLD
10856489,500,Hong Kong,Asia-Pacific,CHN
10856733,51,Turkey,Middle East,TUR
10858333,414,USA,North America,USA
10858343,88,Vietnam,Asia-Pacific,VNM
10858637,623,UK,Europe,GBR
10858715,73,UK,Europe,GBR
10859864,211,Thailand,Asia-Pacific,THA
10862229,296,Canada,North America,CAN
10862585,79,UK,Europe,GBR
10862808,20,USA,North America,USA
10867086,255,USA,North America,USA
10867294,41,USA,North America,USA
10869628,27,Argentina,South America,ARG
10869914,72,USA,North America,USA
10871006,44,Germany,Europe,DEU
10873733,109,UK,Europe,GBR
10874063,854,Sweden,Europe,SWE
10875180,29,Netherlands,Europe,NLD
10875825,549,UK,Europe,GBR
10875827,60,UK,Europe,GBR
10878069,22,USA,North America,USA
10881808,93,USA,North America,USA
10884257,47,Israel,Middle East,ISR
10885162,225,USA,North America,USA
10886473,197,USA,North America,USA
10886477,393,Switzerland,Europe,CHE
10886592,21,USA,North America,USA
10886792,516,Sudan,Africa,SDN
10887385,55,Brazil,South America,BRA
10890292,139,USA,North America,USA
10893344,18,Finland,Europe,FIN
10897186,74,USA,North America,USA
10897230,200,Israel,Middle East,ISR
10897509,307,UK,Europe,GBR
10897510,136,UK,Europe,GBR
10898118,117,USA,North America,USA
10898413,120,Canada,North America,CAN
10898414,473,USA,North America,USA
10898421,154,USA,North America,USA
10898434,111,USA,North America,USA
10898435,130,Netherlands,Europe,NLD
10898445,24,USA,North America,USA
10898671,241,France,Europe,FRA
10898674,1000,USA,North America,USA
10898676,79,USA,North America,USA
10898688,12,USA,North America,USA
10899248,128,Australia,Asia-Pacific,AUS
10899490,60,Germany,Europe,DEU
10899492,100,Ireland,Europe,IRL
10899847,155,Israel,Middle East,ISR
10901114,36,USA,North America,USA
10903223,1211,Canada,North America,CAN
10903291,198,USA,North America,USA
10906914,107,Canada,North America,CAN
10907942,494,France,Europe,FRA
10908256,58,Zimbabwe,Africa,ZWE
10908823,26,Canada,North America,CAN
10910888,24,USA,North America,USA
10911768,159,Netherlands,Europe,NLD
10916098,50,USA,North America,USA
10916106,71,USA,North America,USA
10916110,168,USA,North America,USA
10916115,57,Spain,Europe,ESP
10917323,43,USA,North America,USA
10917328,43,USA,North America,USA
10917986,752,USA,North America,USA
10917987,136,Netherlands,Europe,NLD
10919421,40,UK,Europe,GBR
10919528,155,USA,North America,USA
10919681,423,Germany,Europe,DEU
10919683,380,France,Europe,FRA
10919685,119,UK,Europe,GBR
10921699,40,USA,North America,USA
10921707,42,USA,North America,USA
10922094,250,USA,North America,USA
10922420,240,Hong Kong,Asia-Pacific,CHN
10924866,246,USA,North America,USA
10926346,5537,Sweden,Europe,SWE
10926587,400,Switzerland,Europe,CHE
10926589,108,USA,North America,USA
10927048,54,Hong Kong,Asia-Pacific,CHN
10927062,62,Italy,Europe,ITA
10929034,164,Japan,Asia-Pacific,JPN
10929148,246,Kenya,Africa,KEN
10930961,56,UK,Europe,GBR
10930969,88,UK,Europe,GBR
10932665,50,Sweden,Europe,SWE
10933349,251,France,Europe,FRA
10933350,84,UK,Europe,GBR
10933353,16,Ireland,Europe,IRL
10933355,617,New Zealand,Asia-Pacific,NZL
10933361,48,New Zealand,Asia-Pacific,NZL
10933364,105,USA,North America,USA
10934653,160,Denmark,Europe,DNK
10934787,24,Poland,Europe,POL
10937002,240,USA,North America,USA
10937399,22,Australia,Asia-Pacific,AUS
10937402,530,Australia,Asia-Pacific,AUS
10937408,17411,Australia,Asia-Pacific,AUS
10937409,100,Australia,Asia-Pacific,AUS
10937502,680,USA,North America,USA
10938491,108,Sweden,Europe,SWE
10938492,298,Slovakia,Europe,SVK
10939036,25,Japan,Asia-Pacific,JPN
10944563,135,Peru,South America,PER
10945489,300,UK,Europe,GBR
10945496,102,UK,Europe,GBR
10948025,51,UK,Europe,GBR
10952585,204,Thailand,Asia-Pacific,THA
10952639,60,UK,Europe,GBR
10953898,114,Australia,Asia-Pacific,AUS
10954937,109,UK,Europe,GBR
10955754,126,Australia,Asia-Pacific,AUS
10958125,488,USA,North America,USA
10960199,30,USA,North America,USA
10960628,117,USA,North America,USA
10961629,90,UK,Europe,GBR
10961868,144,USA,North America,USA
10962411,198,USA,North America,USA
10962425,14,USA,North America,USA
10963247,100,Kenya,Africa,KEN
10963286,956,USA,North America,USA
10966840,93,USA,North America,USA
10966942,8696,Gambia,Africa,GMB
10968495,104,Netherlands,Europe,NLD
10968813,324,Germany,Europe,DEU
10970701,114,Finland,Europe,FIN
10971305,152,China,Asia-Pacific,CHN
10971792,382,Sweden,Europe,SWE
10972687,68,Japan,Asia-Pacific,JPN
10972850,120,Tanzania,Africa,TZA
10972907,30,Denmark,Europe,DNK
10973133,38,Brazil,South America,BRA
10973392,383,USA,North America,USA
10973445,297,Thailand,Asia-Pacific,THA
10973451,75,USA,North America,USA
10973645,204,Canada,North America,CAN
10973647,116,Canada,North America,CAN
10973651,41,Netherlands,Europe,NLD
10976612,73,USA,North America,USA
10977833,623,UK,Europe,GBR
10979947,300,USA,North America,USA
10980076,199,Norway,Europe,NOR
10982347,20,USA,North America,USA
10982571,546,UK,Europe,GBR
10983211,1443,USA,North America,USA
10984365,210,Finland,Europe,FIN
10984564,102,Oman,Middle East,OMN
10985708,115,USA,North America,USA
10985712,119,USA,North America,USA
10985713,939,USA,North America,USA
10985715,119,USA,North America,USA
10986000,34,Norway,Europe,NOR
10986186,7705,USA,North America,USA
10986782,97,Canada,North America,CAN
10987161,22,USA,North America,USA
10987586,317,USA,North America,USA
10987596,75,Canada,North America,CAN
10987602,384,USA,North America,USA
10987609,48,USA,North America,USA
10988190,51,USA,North America,USA
10989766,520,Iran,Middle East,IRN
10990044,87,Switzerland,Europe,CHE
10991830,12,Germany,Europe,DEU
10991842,44,USA,North America,USA
10991932,10,UK,Europe,GBR
10992826,14,UK,Europe,GBR
10992829,18,Denmark,Europe,DNK
10992830,38,USA,North America,USA
10992833,60,Finland,Europe,FIN
10992835,70,Ireland,Europe,IRL
10992836,32,UK,Europe,GBR
10995093,20,Gambia,Africa,GMB
10999555,46,China,Asia-Pacific,CHN
10999865,656,UK,Europe,GBR
11001084,211,UK,Europe,GBR
11001892,367,UK,Europe,GBR
11003743,32,UK,Europe,GBR
11003744,150,UK,Europe,GBR
11003764,330,USA,North America,USA
11005114,162,Norway,Europe,NOR
11006672,54,Ireland,Europe,IRL
11009745,48,USA,North America,USA
11011328,3519,UK,Europe,GBR
11011459,700,Australia,Asia-Pacific,AUS
11011475,303,Australia,Asia-Pacific,AUS
11012497,90,Singapore,Asia-Pacific,SGP
11012909,117,Germany,Europe,DEU
11015237,21,USA,North America,USA
11016326,85,USA,North America,USA
11016328,161,USA,North America,USA
11016911,81,USA,North America,USA
11017978,346,Australia,Asia-Pacific,AUS
11018164,143,Thailand,Asia-Pacific,THA
11018687,30,Bosnia and Herzegovina,Europe,BIH
11020505,19,USA,North America,USA
11020511,24,USA,North America,USA
11020518,22,Israel,Middle East,ISR
11020621,124,Germany,Europe,DEU
11022584,212,USA,North America,USA
11023017,447,USA,North America,USA
11026883,210,Mexico,North America,MEX
11027909,33,Sweden,Europe,SWE
11028464,575,USA,North America,USA
11028466,900,USA,North America,USA
11028477,19,USA,North America,USA
11028483,21,Switzerland,Europe,CHE
11028492,250,Germany,Europe,DEU
11030202,20,Japan,Asia-Pacific,JPN
11030676,302,Australia,Asia-Pacific,AUS
11030677,159,UK,Europe,GBR
11030682,119,UK,Europe,GBR
11033392,70,Iran,Middle East,IRN
11036040,597,Australia,Asia-Pacific,AUS
11036119,917,Sweden,Europe,SWE
11036121,42,Hong Kong,Asia-Pacific,CHN
11039967,316,Netherlands,Europe,NLD
11040017,113,Denmark,Europe,DNK
11040170,40,UK,Europe,GBR
11040223,180,Netherlands,Europe,NLD
11044264,207,Tanzania,Africa,TZA
11045860,597,USA,North America,USA
11050257,360,UK,Europe,GBR
11050258,184,UK,Europe,GBR
11050785,197,UK,Europe,GBR
11053173,104,Australia,Asia-Pacific,AUS
11053174,141,UK,Europe,GBR
11053334,23,Canada,North America,CAN
11054193,104,USA,North America,USA
11054217,45,Austria,Europe,AUT
11054329,245,USA,North America,USA
11055449,668,USA,North America,USA
11056238,382,Switzerland,Europe,CHE
11056241,49,UK,Europe,GBR
11056254,46,USA,North America,USA
11058207,188,Canada,North America,CAN
11059437,91,Nepal,Asia-Pacific,NPL
11061483,263,Japan,Asia-Pacific,JPN
11061603,858,Germany,Europe,DEU
11061730,243,Finland,Europe,FIN
11061732,905,UK,Europe,GBR
11063446,196,Benin,Africa,BEN
11064611,40,UK,Europe,GBR
11066145,16,USA,North America,USA
11069340,30,UK,Europe,GBR
11071672,488,USA,North America,USA
11074396,86,UK,Europe,GBR
11075300,311,Italy,Europe,ITA
11078235,35,USA,North America,USA
11078770,58,USA,North America,USA
11078836,30,USA,North America,USA
11079019,130,USA,North America,USA
11079643,56,UK,Europe,GBR
11079647,323,USA,North America,USA
11079649,6352,USA,North America,USA
11079650,394,Canada,North America,CAN
11079651,520,Canada,North America,CAN
11079654,52,Japan,Asia-Pacific,JPN
11079667,26,Canada,North America,CAN
11079877,100,USA,North America,USA
11081529,233,Haiti,North America,HTI
11082083,148,Hong Kong,Asia-Pacific,CHN
11082090,583,UK,Europe,GBR
11083648,826,USA,North America,USA
11084174,61,USA,North America,USA
11086269,464,UK,Europe,GBR
11087879,180,Finland,Europe,FIN
11088036,302,Canada,North America,CAN
11089711,240,Canada,North America,CAN
11090162,30,Sweden,Europe,SWE
11090595,20,Denmark,Europe,DNK
11090727,75,USA,North America,USA
11092283,323,USA,North America,USA
11092410,158,UK,Europe,GBR
11092645,321,Germany,Europe,DEU
11092646,13,Sweden,Europe,SWE
11094581,155,USA,North America,USA
11094584,29,UK,Europe,GBR
11094589,40,Belgium,Europe,BEL
11097098,20,Sweden,Europe,SWE
11097601,475,USA,North America,USA
11099284,464,UK,Europe,GBR
11099285,627,UK,Europe,GBR
11103174,20,Japan,Asia-Pacific,JPN
11103179,45,Japan,Asia-Pacific,JPN
11103185,30,Germany,Europe,DEU
11104556,130,UK,Europe,GBR
11105102,46,Brazil,South America,BRA
11106122,39,USA,North America,USA
11106123,159,Italy,Europe,ITA
11106211,80,UK,Europe,GBR
11107075,399,USA,North America,USA
11107088,120,USA,North America,USA
11109693,252,Australia,Asia-Pacific,AUS
11109969,46,Italy,Europe,ITA
11110676,609,USA,North America,USA
11110737,653,Canada,North America,CAN
11110739,452,UK,Europe,GBR
11111259,168,USA,North America,USA
11113723,316,UK,Europe,GBR
11115819,70,USA,North America,USA
11119172,570,USA,North America,USA
11119180,55,USA,North America,USA
11119182,228,USA,North America,USA
11119183,181,USA,North America,USA
11119731,42,Finland,Europe,FIN
11119735,51,Canada,North America,CAN
11120550,609,Brazil,South America,BRA
11120961,763,South Africa,Africa,ZAF
11120963,30,Vietnam,Asia-Pacific,VNM
11120972,24,USA,North America,USA
11121928,200,UK,Europe,GBR
11122095,228,UK,Europe,GBR
11123502,520,Finland,Europe,FIN
11123824,253,Cote d'Ivoire,Africa,CIV
11123825,60,India,Asia-Pacific,IND
11123827,261,Tanzania,Africa,TZA
11123828,178,South Africa,Africa,ZAF
11124171,112,Australia,Asia-Pacific,AUS
11124777,610,UK,Europe,GBR
11124794,58,UK,Europe,GBR
11124927,100,Finland,Europe,FIN
11127443,41,Denmark,Europe,DNK
11127455,18,USA,North America,USA
11127459,33,Canada,North America,CAN
11127487,567,USA,North America,USA
11127493,17,USA,North America,USA
11130802,144,USA,North America,USA
11131271,76,Japan,Asia-Pacific,JPN
11133704,200,Nepal,Asia-Pacific,NPL
11133742,652,USA,North America,USA
11133891,40,USA,North America,USA
11134918,181,UK,Europe,GBR
11135086,48,USA,North America,USA
11135155,128,Canada,North America,CAN
11135169,266,USA,North America,USA
11136142,30,USA,North America,USA
11136518,36,Brazil,South America,BRA
11136787,30,USA,North America,USA
11136839,210,Spain,Europe,ESP
11136953,412,USA,North America,USA
11142481,214,Italy,Europe,ITA
11143188,321,Uganda,Africa,UGA
11150359,220,USA,North America,USA
11152083,56,USA,North America,USA
11152085,583,USA,North America,USA
11153582,25,Netherlands,Europe,NLD
11153737,115,USA,North America,USA
11153772,450,Argentina,South America,ARG
11153777,103,Netherlands,Europe,NLD
11154618,112,UK,Europe,GBR
11156782,45,USA,North America,USA
11157288,526,USA,North America,USA
11157525,404,UK,Europe,GBR
11158752,24,UK,Europe,GBR
11159567,30,UK,Europe,GBR
11159568,170,Germany,Europe,DEU
11159619,130,Sweden,Europe,SWE
11159657,315,UK,Europe,GBR
11159994,30,USA,North America,USA
11160464,42,UK,Europe,GBR
11161231,1070,USA,North America,USA
11161394,40,Germany,Europe,DEU
11163478,2210,USA,North America,USA
11163738,119,Sweden,Europe,SWE
11163746,5010,USA,North America,USA
11163814,313,USA,North America,USA
11167223,170,Iceland,Europe,ISL
11167437,40,USA,North America,USA
11167439,140,USA,North America,USA
11167792,920,Germany,Europe,DEU
11168029,110,USA,North America,USA
11168137,178,Belgium,Europe,BEL
11171650,35,USA,North America,USA
11171825,10,UK,Europe,GBR
11172834,138,Ireland,Europe,IRL
11172835,578,Germany,Europe,DEU
11172837,35,Sweden,Europe,SWE
11172843,30,Italy,Europe,ITA
11172852,66,Italy,Europe,ITA
11174738,133,USA,North America,USA
11174744,168,USA,North America,USA
11174795,52,UK,Europe,GBR
11177158,40,China,Asia-Pacific,CHN
11179154,148,UK,Europe,GBR
11179160,421,UK,Europe,GBR
11179329,103,USA,North America,USA
11181366,16,USA,North America,USA
11181371,86,USA,North America,USA
11181756,578,USA,North America,USA
11181869,145,UK,Europe,GBR
11181997,191,Italy,Europe,ITA
11182006,223,UK,Europe,GBR
11186094,53,China,Asia-Pacific,CHN
11186500,317,USA,North America,USA
11186596,65,USA,North America,USA
11189100,318,France,Europe,FRA
11189800,619,USA,North America,USA
11192136,30,South Korea,Asia-Pacific,KOR
11193130,45,Australia,Asia-Pacific,AUS
11200732,240,Canada,North America,CAN
11205093,988,Netherlands,Europe,NLD
11205095,139,Norway,Europe,NOR
11205180,60,Switzerland,Europe,CHE
11207019,162,Finland,Europe,FIN
11207036,370,Japan,Asia-Pacific,JPN
11207651,240,Ethiopia,Africa,ETH
11208863,4,USA,North America,USA
11214010,257,Sweden,Europe,SWE
11215006,108,Australia,Asia-Pacific,AUS
11215011,20,Australia,Asia-Pacific,AUS
11216952,22,Switzerland,Europe,CHE
11216968,241,USA,North America,USA
11216970,20,Canada,North America,CAN
11216977,37,Italy,Europe,ITA
11220039,226,UK,Europe,GBR
11221123,884,Tanzania,Africa,TZA
11221128,192,Kenya,Africa,KEN
11221150,42,Malaysia,Asia-Pacific,MYS
11221822,180,USA,North America,USA
11222362,377,USA,North America,USA
11222419,238,UK,Europe,GBR
11223309,16,Canada,North America,CAN
11223497,381,Canada,North America,CAN
11224630,51,USA,North America,USA
11224633,180,France,Europe,FRA
11224634,936,Canada,North America,CAN
11226356,294,UK,Europe,GBR
11228063,252,Sweden,Europe,SWE
11228276,981,Germany,Europe,DEU
11229465,40,USA,North America,USA
11229946,100,USA,North America,USA
11231366,81,Canada,North America,CAN
11231370,61,UK,Europe,GBR
11238150,73,UK,Europe,GBR
11238151,80,Switzerland,Europe,CHE
11238152,272,Australia,Asia-Pacific,AUS
11239527,30,USA,North America,USA
11239530,40,Turkey,Middle East,TUR
11239541,100,Germany,Europe,DEU
11239618,274,USA,North America,USA
11239740,56,Netherlands,Europe,NLD
11241092,90,USA,North America,USA
11241124,209,UK,Europe,GBR
11246064,357,Australia,Asia-Pacific,AUS
11249050,176,France,Europe,FRA
11250852,227,Netherlands,Europe,NLD
11250974,64,Netherlands,Europe,NLD
11251748,786,USA,North America,USA
11254817,374,UK,Europe,GBR
11254820,832,Tanzania,Africa,TZA
11255901,191,UK,Europe,GBR
11259226,182,UK,Europe,GBR
11260410,36,Germany,Europe,DEU
11260412,51,Canada,North America,CAN
11260420,131,Netherlands,Europe,NLD
11263603,100,USA,North America,USA
11263625,123,Canada,North America,CAN
11263782,278,France,Europe,FRA
11264156,53,USA,North America,USA
11264206,240,New Zealand,Asia-Pacific,NZL
11264331,89,Canada,North America,CAN
11264335,35,Brazil,South America,BRA
11266148,454,Sweden,Europe,SWE
11266197,21,USA,North America,USA
11266237,64,UK,Europe,GBR
11266238,585,Greece,Europe,GRC
11266417,118,Netherlands,Europe,NLD
11271867,129,UK,Europe,GBR
11271868,160,UK,Europe,GBR
11272848,21,Taiwan,Asia-Pacific,TWN
11274622,40,USA,North America,USA
11276541,46,Canada,North America,CAN
11279411,100,Germany,Europe,DEU
11281090,40,Canada,North America,CAN
11282668,49,USA,North America,USA
11282864,323,UK,Europe,GBR
11283037,196,USA,North America,USA
11283125,653,Germany,Europe,DEU
11284820,100,USA,North America,USA
11284839,106,UK,Europe,GBR
11285043,51,Sweden,Europe,SWE
11285986,533,UK,Europe,GBR
11286466,91,Japan,Asia-Pacific,JPN
11287014,62,USA,North America,USA
11287020,329,Netherlands,Europe,NLD
11287022,21,USA,North America,USA
11287024,150,Hong Kong,Asia-Pacific,CHN
11287025,60,Turkey,Middle East,TUR
11287028,60,Turkey,Middle East,TUR
11287029,158,Brazil,South America,BRA
11290479,34,USA,North America,USA
11290635,87,Spain,Europe,ESP
11290639,112,UK,Europe,GBR
11290669,26,UK,Europe,GBR
11291370,294,USA,North America,USA
11291373,1326,USA,North America,USA
11291531,25,Canada,North America,CAN
11292113,43,Germany,Europe,DEU
11296329,30,UK,Europe,GBR
11297702,120,Netherlands,Europe,NLD
11298072,323,Australia,Asia-Pacific,AUS
11298145,188,Belgium,Europe,BEL
11298850,164,Sweden,Europe,SWE
11299036,60,Cameroon,Africa,CMR
11299228,27,USA,North America,USA
11300425,133,USA,North America,USA
11300427,37,Japan,Asia-Pacific,JPN
11300437,120,Canada,North America,CAN
11300442,60,Germany,Europe,DEU
11300443,62,USA,North America,USA
11300445,44,USA,North America,USA
11300446,37,Germany,Europe,DEU
11300448,20,USA,North America,USA
11300450,50,USA,North America,USA
11301186,50,France,Europe,FRA
11302252,45,USA,North America,USA
11302591,36,Peru,South America,PER
11302799,47,Malaysia,Asia-Pacific,MYS
11302905,478,UK,Europe,GBR
11303137,260,USA,North America,USA
11303543,246,Netherlands,Europe,NLD
11303547,97,Norway,Europe,NOR
11304505,239,China,Asia-Pacific,CHN
11306153,980,USA,North America,USA
11308246,229,UK,Europe,GBR
11309057,639,UK,Europe,GBR
11309632,635,USA,North America,USA
11310461,53,Australia,Asia-Pacific,AUS
11312048,60,Austria,Europe,AUT
11313239,69,USA,North America,USA
11313245,49,France,Europe,FRA
11314793,122,USA,North America,USA
11315920,969,USA,North America,USA
11316215,22,USA,North America,USA
11318908,479,USA,North America,USA
