ISO3,Disease,YEAR,Total_Participants,Total_Studies
ARG,Digestive diseases,2022,317.0,1
ARG,Gallbladder and biliary diseases,2015,300.0,1
ARG,HIV/AIDS,2010,24.0,1
ARG,HIV/AIDS,2011,69.14900167,1
ARG,HIV/AIDS,2012,18.0,1
ARG,HIV/AIDS,2016,120.0,1
ARG,HIV/AIDS,2018,61.57861275,1
ARG,HIV/AIDS,2019,162.0,1
ARG,HIV/AIDS,2021,38.0,1
ARG,HIV/AIDS and sexually transmitted infections,2010,24.0,1
ARG,HIV/AIDS and sexually transmitted infections,2011,69.14900167,1
ARG,HIV/AIDS and sexually transmitted infections,2012,18.0,1
ARG,HIV/AIDS and sexually transmitted infections,2016,120.0,1
ARG,HIV/AIDS and sexually transmitted infections,2018,61.57861275,1
ARG,HIV/AIDS and sexually transmitted infections,2019,255.31704424999998,2
ARG,HIV/AIDS and sexually transmitted infections,2021,38.0,1
ARG,Headache disorders,2024,66.93057586,1
ARG,Idiopathic developmental intellectual disability,2013,62.0,1
ARG,Idiopathic epilepsy,2000,355.0,1
ARG,Inflammatory bowel disease,2022,317.0,1
ARG,"Inguinal, femoral, and abdominal hernia",2011,188.0,1
ARG,Ischemic heart disease,2001,450.0,1
ARG,Ischemic heart disease,2003,307.46047747,2
ARG,Ischemic heart disease,2004,301.0,1
ARG,Ischemic heart disease,2005,450.0,1
ARG,Ischemic heart disease,2006,126.0,2
ARG,Ischemic heart disease,2010,41.99847341,1
ARG,Ischemic heart disease,2020,100.0,1
ARG,Leukemia,2003,135.0,1
ARG,Lower respiratory infections,2021,602.63287742,4
ARG,Lower respiratory infections,2022,155.0,3
ARG,Lower respiratory infections,2023,2.905688518,1
ARG,Maternal and neonatal disorders,2005,158.3276398,1
ARG,Maternal and neonatal disorders,2008,19.0,1
ARG,Maternal and neonatal disorders,2009,11323.0,1
ARG,Maternal and neonatal disorders,2010,150.0,1
ARG,Maternal and neonatal disorders,2011,198.43400873,2
ARG,Maternal and neonatal disorders,2012,1492.448571143,2
ARG,Maternal and neonatal disorders,2013,3.673039821,1
ARG,Maternal and neonatal disorders,2015,3297.8814464800002,3
ARG,Maternal and neonatal disorders,2016,314.8503854,1
ARG,Maternal and neonatal disorders,2017,278.0,2
ARG,Maternal and neonatal disorders,2018,207.75015506,2
ARG,Maternal and neonatal disorders,2019,810.0,3
ARG,Maternal and neonatal disorders,2021,745.63287742,5
ARG,Maternal and neonatal disorders,2022,845.0,4
ARG,Maternal and neonatal disorders,2023,2.905688518,1
ARG,Maternal disorders,2008,38.0,1
ARG,Maternal disorders,2009,33969.0,1
ARG,Maternal disorders,2012,2984.897142286,2
ARG,Maternal disorders,2013,7.346079642,1
ARG,Maternal disorders,2015,9018.865089,2
ARG,Maternal disorders,2016,629.7007708,1
ARG,Maternal disorders,2017,270.0,1
ARG,Maternal disorders,2019,1230.0,2
ARG,Maternal disorders,2021,602.63287742,4
ARG,Maternal disorders,2022,1535.0,4
ARG,Maternal disorders,2023,2.905688518,1
ARG,Mental disorders,2011,190.0,1
ARG,Mental disorders,2013,62.0,1
ARG,Mental disorders,2014,37.66483183,1
ARG,Mental disorders,2019,162.0,1
ARG,Mental disorders,2020,82.0,1
ARG,Mental disorders,2024,16.57078132,1
ARG,Musculoskeletal disorders,2011,188.0,1
ARG,Musculoskeletal disorders,2014,18.85519703,1
ARG,Musculoskeletal disorders,2018,64.75015506,1
ARG,Neck pain,2018,64.75015506,1
ARG,Neglected tropical diseases and malaria,2005,176.0,1
ARG,Neglected tropical diseases and malaria,2015,39.0,1
ARG,Neglected tropical diseases and malaria,2017,23.619438115,2
ARG,Neglected tropical diseases and malaria,2020,240.0,1
ARG,Neglected tropical diseases and malaria,2021,263.0,2
ARG,Neglected tropical diseases and malaria,2023,1181.0,2
ARG,Neonatal disorders,2005,316.6552796,1
ARG,Neonatal disorders,2010,300.0,1
ARG,Neonatal disorders,2011,584.86801746,2
ARG,Neonatal disorders,2015,73.18616696,1
ARG,Neonatal disorders,2017,286.0,1
ARG,Neonatal disorders,2018,415.50031012,2
ARG,Neonatal disorders,2019,390.0,1
ARG,Neonatal disorders,2021,1491.26575484,5
ARG,Neonatal disorders,2022,310.0,3
ARG,Neonatal disorders,2023,5.811377036,1
ARG,Neoplasms,2000,27.0,1
ARG,Neoplasms,2002,26.0,1
ARG,Neoplasms,2003,135.0,1
ARG,Neoplasms,2006,101.0,1
ARG,Neoplasms,2007,39.76784609,1
ARG,Neoplasms,2008,32.71332382,1
ARG,Neoplasms,2015,768.823324968,2
ARG,Neoplasms,2022,120.0,1
ARG,Neoplasms,2023,1510.95381371,2
ARG,Neoplasms,2024,144.0,1
ARG,Neurological disorders,2000,355.0,1
ARG,Neurological disorders,2013,62.0,1
ARG,Neurological disorders,2017,6.240352895,1
ARG,Neurological disorders,2018,64.75015506,1
ARG,Neurological disorders,2019,162.0,1
ARG,Neurological disorders,2020,181.0,1
ARG,Neurological disorders,2023,20.0,1
ARG,Neurological disorders,2024,33.46528793,1
ARG,Non-Hodgkin lymphoma,2000,54.0,1
ARG,Other cardiovascular and circulatory diseases,2011,15.31775136,1
ARG,Other cardiovascular and circulatory diseases,2013,1.960316124,1
ARG,Other chronic respiratory diseases,2017,9.125800754,1
ARG,Other digestive diseases,2011,188.0,1
ARG,Other mental disorders,2013,62.0,1
ARG,Other mental disorders,2014,37.66483183,1
ARG,Other musculoskeletal disorders,2011,188.0,1
ARG,Other musculoskeletal disorders,2014,18.85519703,1
ARG,Other neglected tropical diseases,2005,176.0,1
ARG,Other neoplasms,2000,54.0,1
ARG,Other neoplasms,2002,52.0,1
ARG,Other neoplasms,2006,202.0,1
ARG,Other neoplasms,2007,79.53569218,1
ARG,Other neoplasms,2015,2302.646649936,2
ARG,Other neoplasms,2023,4521.90762742,2
ARG,Other neurological disorders,2013,62.0,1
ARG,Other neurological disorders,2017,6.240352895,1
ARG,Other neurological disorders,2018,64.75015506,1
ARG,Other neurological disorders,2019,162.0,1
ARG,Other neurological disorders,2023,20.0,1
ARG,Other skin and subcutaneous diseases,2010,150.0,1
ARG,Parkinson's disease,2013,62.0,1
ARG,Parkinson's disease,2023,20.0,1
ARG,Prostate cancer,2000,27.0,1
ARG,Respiratory infections and tuberculosis,2006,22.0,1
ARG,Respiratory infections and tuberculosis,2021,602.63287742,4
ARG,Respiratory infections and tuberculosis,2022,155.0,3
ARG,Respiratory infections and tuberculosis,2023,2.905688518,1
ARG,Schizophrenia,2024,16.57078132,1
ARG,Sense organ diseases,2003,92.0,1
ARG,Sense organ diseases,2013,1.960316124,1
ARG,Sense organ diseases,2024,80.0,1
ARG,Sexually transmitted infections excluding HIV,2018,246.314451,1
ARG,Sexually transmitted infections excluding HIV,2019,186.6340885,1
ARG,Skin and subcutaneous diseases,2010,150.0,1
ARG,Stroke,2010,83.99694682,1
ARG,Stroke,2024,134.81507394,1
ARG,"Tracheal, bronchus, and lung cancer",2023,10.95381371,1
ARG,Tuberculosis,2006,44.0,1
ARG,Upper digestive system diseases,2011,376.0,1
ARG,Upper respiratory infections,2021,602.63287742,4
ARG,Upper respiratory infections,2022,155.0,3
ARG,Upper respiratory infections,2023,2.905688518,1
ARG,Yellow fever,2017,6.240352895,1
ARG,Yellow fever,2023,851.0,1
ARM,Respiratory infections and tuberculosis,2015,380.0,1
ARM,Respiratory infections and tuberculosis,2020,385.0,1
ARM,Tuberculosis,2015,760.0,1
ARM,Tuberculosis,2020,770.0,1
ASM,Diabetes and kidney diseases,2013,104.0,1
ASM,Diabetes and kidney diseases,2014,268.0,1
ASM,Diabetes and kidney diseases,2015,268.0,1
ASM,Diabetes and kidney diseases,2019,432.0,1
ASM,Diabetes mellitus,2013,104.0,1
ASM,Diabetes mellitus,2014,268.0,1
ASM,Diabetes mellitus,2015,268.0,1
ASM,Diabetes mellitus,2019,432.0,1
AUS,Acne vulgaris,2001,22.69974671,1
AUS,Acne vulgaris,2007,43.0,1
AUS,Acne vulgaris,2019,6.675792875,1
AUS,Age-related and other hearing loss,2008,103.0,1
AUS,Age-related and other hearing loss,2013,718.0,5
AUS,Age-related and other hearing loss,2016,126.0,1
AUS,Age-related and other hearing loss,2017,300.0,1
AUS,Age-related and other hearing loss,2020,82.0,1
AUS,Age-related and other hearing loss,2023,132.0,1
AUS,Age-related and other hearing loss,2024,540.0,2
AUS,Alcohol use disorders,2011,425.0,1
AUS,Alcohol use disorders,2012,1920.0,1
AUS,Alcohol use disorders,2013,1550.0,2
AUS,Alcohol use disorders,2014,459.0,2
AUS,Alcohol use disorders,2015,141.0,1
AUS,Alcohol use disorders,2016,394.0,2
AUS,Alcohol use disorders,2017,1198.0,2
AUS,Alcohol use disorders,2018,470.0,2
AUS,Alcohol use disorders,2019,815.0,2
AUS,Alcohol use disorders,2021,583.0,2
AUS,Alcohol use disorders,2022,1775.0,4
AUS,Alcohol use disorders,2023,541.0,2
AUS,Alcohol use disorders,2024,44.0,2
AUS,Alopecia areata,2021,32.0,1
AUS,Alzheimer's disease and other dementias,2004,282.0,1
AUS,Alzheimer's disease and other dementias,2006,276.0,1
AUS,Alzheimer's disease and other dementias,2008,577.0998604920001,3
AUS,Alzheimer's disease and other dementias,2009,473.0,3
AUS,Alzheimer's disease and other dementias,2010,746.0,4
AUS,Alzheimer's disease and other dementias,2011,611.0,3
AUS,Alzheimer's disease and other dementias,2012,646.0,5
AUS,Alzheimer's disease and other dementias,2013,19870.0,6
AUS,Alzheimer's disease and other dementias,2014,260.0,2
AUS,Alzheimer's disease and other dementias,2015,601.0,5
AUS,Alzheimer's disease and other dementias,2016,252.0,3
AUS,Alzheimer's disease and other dementias,2017,19937.0,5
AUS,Alzheimer's disease and other dementias,2018,19988.0,5
AUS,Alzheimer's disease and other dementias,2019,570.0,7
AUS,Alzheimer's disease and other dementias,2020,1470.0,6
AUS,Alzheimer's disease and other dementias,2021,524.18896878,5
AUS,Alzheimer's disease and other dementias,2022,9346.0,4
AUS,Alzheimer's disease and other dementias,2023,541.0,3
AUS,Alzheimer's disease and other dementias,2024,1658.001298701,9
AUS,Anxiety disorders,2001,268.0,1
AUS,Anxiety disorders,2002,147.0,1
AUS,Anxiety disorders,2004,277.0,2
AUS,Anxiety disorders,2005,141.0,1
AUS,Anxiety disorders,2006,620.0,3
AUS,Anxiety disorders,2007,200.0,1
AUS,Anxiety disorders,2010,2157.0,8
AUS,Anxiety disorders,2011,1163.0,5
AUS,Anxiety disorders,2012,693.55771922,4
AUS,Anxiety disorders,2013,3576.0,9
AUS,Anxiety disorders,2014,3765.0,15
AUS,Anxiety disorders,2015,2967.0,15
AUS,Anxiety disorders,2016,2643.440612449,19
AUS,Anxiety disorders,2017,1851.0,8
AUS,Anxiety disorders,2018,2026.0,7
AUS,Anxiety disorders,2019,1677.0,5
AUS,Anxiety disorders,2020,1325.9973369680001,10
AUS,Anxiety disorders,2021,3685.425045882,11
AUS,Anxiety disorders,2022,997.55074946,8
AUS,Anxiety disorders,2023,3076.431334492,18
AUS,Anxiety disorders,2024,5175.0,17
AUS,Appendicitis,2000,302.0,1
AUS,Appendicitis,2004,19.3485689,1
AUS,Appendicitis,2007,47.19283203,1
AUS,Appendicitis,2016,280.0,2
AUS,Appendicitis,2020,130.0,1
AUS,Appendicitis,2024,10.0,1
AUS,Asthma,2001,272.0,1
AUS,Asthma,2002,80.0,2
AUS,Asthma,2003,174.0,1
AUS,Asthma,2004,996.0,1
AUS,Asthma,2005,58.0,1
AUS,Asthma,2006,78.0,1
AUS,Asthma,2007,453.0,2
AUS,Asthma,2008,207.0,2
AUS,Asthma,2010,230.0,1
AUS,Asthma,2011,497.0,2
AUS,Asthma,2012,518.0,3
AUS,Asthma,2013,16012.0,2
AUS,Asthma,2014,1379.0,5
AUS,Asthma,2015,402.0,2
AUS,Asthma,2016,280.0,2
AUS,Asthma,2017,178.0,2
AUS,Asthma,2018,400.0,1
AUS,Asthma,2019,155.0,2
AUS,Asthma,2020,30.0,1
AUS,Asthma,2021,43.0,2
AUS,Asthma,2022,103.0,2
AUS,Asthma,2023,457.0,1
AUS,Asthma,2024,439.0,1
AUS,Atrial fibrillation and flutter,2003,99.0,1
AUS,Atrial fibrillation and flutter,2008,22.35485523,1
AUS,Atrial fibrillation and flutter,2009,48.0,1
AUS,Atrial fibrillation and flutter,2011,2117.0,2
AUS,Atrial fibrillation and flutter,2013,3.544062433,1
AUS,Atrial fibrillation and flutter,2014,500.0,1
AUS,Atrial fibrillation and flutter,2016,393.0,1
AUS,Atrial fibrillation and flutter,2017,335.0,1
AUS,Atrial fibrillation and flutter,2019,335.0,1
AUS,Atrial fibrillation and flutter,2020,179.0,1
AUS,Atrial fibrillation and flutter,2021,558.0,4
AUS,Atrial fibrillation and flutter,2023,984.0,4
AUS,Atrial fibrillation and flutter,2024,200.0,1
AUS,Attention-deficit/hyperactivity disorder,2005,63.0,1
AUS,Attention-deficit/hyperactivity disorder,2009,93.0,1
AUS,Attention-deficit/hyperactivity disorder,2010,218.0,1
AUS,Attention-deficit/hyperactivity disorder,2011,206.0,2
AUS,Attention-deficit/hyperactivity disorder,2013,42.0,1
AUS,Attention-deficit/hyperactivity disorder,2014,10.0,1
AUS,Attention-deficit/hyperactivity disorder,2015,462.0,3
AUS,Attention-deficit/hyperactivity disorder,2016,29.0,1
AUS,Attention-deficit/hyperactivity disorder,2017,320.0,1
AUS,Attention-deficit/hyperactivity disorder,2018,93.0,1
AUS,Attention-deficit/hyperactivity disorder,2019,228.0,1
AUS,Attention-deficit/hyperactivity disorder,2021,543.0,1
AUS,Attention-deficit/hyperactivity disorder,2022,993.0,3
AUS,Autism spectrum disorders,2010,40.0,1
AUS,Autism spectrum disorders,2011,250.0,1
AUS,Autism spectrum disorders,2014,146.0,1
AUS,Autism spectrum disorders,2015,100.997179744,2
AUS,Autism spectrum disorders,2016,168.0,1
AUS,Autism spectrum disorders,2018,88.788826024,2
AUS,Autism spectrum disorders,2019,218.0,2
AUS,Autism spectrum disorders,2020,319.0,4
AUS,Autism spectrum disorders,2021,386.0,4
AUS,Autism spectrum disorders,2022,559.0,5
AUS,Autism spectrum disorders,2023,256.0,4
AUS,Autism spectrum disorders,2024,466.0,2
AUS,Bacterial skin diseases,2007,412.0,1
AUS,Bacterial skin diseases,2014,2032.0,2
AUS,Bacterial skin diseases,2016,466.0,2
AUS,Bacterial skin diseases,2017,102.0,1
AUS,Bacterial skin diseases,2023,168.0,1
AUS,Bipolar disorder,2009,26.0,1
AUS,Bipolar disorder,2011,250.0,1
AUS,Bipolar disorder,2012,149.0,1
AUS,Bipolar disorder,2013,26.0,1
AUS,Bipolar disorder,2015,225.0,1
AUS,Bipolar disorder,2018,91.0,1
AUS,Bipolar disorder,2020,352.0,1
AUS,Bladder cancer,2015,500.0,1
AUS,Blindness and vision loss,2001,83.822782449,2
AUS,Blindness and vision loss,2002,456.0,2
AUS,Blindness and vision loss,2003,66.0,1
AUS,Blindness and vision loss,2005,282.0,1
AUS,Blindness and vision loss,2006,112.0,1
AUS,Blindness and vision loss,2008,228.0,1
AUS,Blindness and vision loss,2010,1212.0,1
AUS,Blindness and vision loss,2011,95.36764665999999,2
AUS,Blindness and vision loss,2013,1436.0,4
AUS,Blindness and vision loss,2015,772.0,1
AUS,Blindness and vision loss,2016,216.0,1
AUS,Blindness and vision loss,2017,2126.0,3
AUS,Blindness and vision loss,2018,120.120774532,2
AUS,Blindness and vision loss,2020,333.58154568,2
AUS,Blindness and vision loss,2022,449.64415666,4
AUS,Blindness and vision loss,2023,144.0,1
AUS,Blindness and vision loss,2024,924.0,2
AUS,Brain and central nervous system cancer,2011,200.0,1
AUS,Brain and central nervous system cancer,2015,562.0,3
AUS,Brain and central nervous system cancer,2016,88.17166067,1
AUS,Breast cancer,2002,242.419157674,3
AUS,Breast cancer,2003,11.2698869,1
AUS,Breast cancer,2004,141.48545356,2
AUS,Breast cancer,2005,97.0,1
AUS,Breast cancer,2006,297.14342670999997,3
AUS,Breast cancer,2007,127.0,1
AUS,Breast cancer,2008,31.0,1
AUS,Breast cancer,2010,100.4030958,1
AUS,Breast cancer,2011,200.0,1
AUS,Breast cancer,2012,582.0,4
AUS,Breast cancer,2014,970.0,1
AUS,Breast cancer,2015,492.0,3
AUS,Breast cancer,2016,466.0,3
AUS,Breast cancer,2017,2342.64377968,6
AUS,Breast cancer,2018,1168.0,4
AUS,Breast cancer,2019,285.0,3
AUS,Breast cancer,2020,139.0,2
AUS,Breast cancer,2021,1878.0,4
AUS,Breast cancer,2022,1970.0,5
AUS,Breast cancer,2023,1291.774112757,4
AUS,Breast cancer,2024,1119.0,3
AUS,Cardiomyopathy and myocarditis,2023,84.0,1
AUS,Cardiovascular diseases,2000,156.4568318,2
AUS,Cardiovascular diseases,2001,9535.0,4
AUS,Cardiovascular diseases,2002,10.608081184,2
AUS,Cardiovascular diseases,2003,171.98183593,3
AUS,Cardiovascular diseases,2004,302.0,2
AUS,Cardiovascular diseases,2005,157.0,2
AUS,Cardiovascular diseases,2006,1244.76659015,8
AUS,Cardiovascular diseases,2007,282.0,3
AUS,Cardiovascular diseases,2008,2603.454715722,9
AUS,Cardiovascular diseases,2009,2922.1610538,12
AUS,Cardiovascular diseases,2010,14996.08982343,11
AUS,Cardiovascular diseases,2011,2973.0,12
AUS,Cardiovascular diseases,2012,2553.0,12
AUS,Cardiovascular diseases,2013,12784.657217514,16
AUS,Cardiovascular diseases,2014,15619.312904628001,14
AUS,Cardiovascular diseases,2015,5254.72911623,20
AUS,Cardiovascular diseases,2016,5555.227297307,22
AUS,Cardiovascular diseases,2017,27307.068856805003,24
AUS,Cardiovascular diseases,2018,2945.544808834,18
AUS,Cardiovascular diseases,2019,3414.6467953700003,14
AUS,Cardiovascular diseases,2020,1269.973760211,13
AUS,Cardiovascular diseases,2021,3395.816966315,16
AUS,Cardiovascular diseases,2022,3521.39868685,15
AUS,Cardiovascular diseases,2023,4262.5622649,19
AUS,Cardiovascular diseases,2024,5885.673220070999,19
AUS,Chronic kidney disease,2001,166.0,1
AUS,Chronic kidney disease,2002,522.0,1
AUS,Chronic kidney disease,2005,113.0,1
AUS,Chronic kidney disease,2006,315.0,1
AUS,Chronic kidney disease,2008,48.028050332999996,2
AUS,Chronic kidney disease,2009,2842.77323996,7
AUS,Chronic kidney disease,2010,2165.9310926,6
AUS,Chronic kidney disease,2011,57.0,1
AUS,Chronic kidney disease,2012,1650.645823737,5
AUS,Chronic kidney disease,2013,1483.0,5
AUS,Chronic kidney disease,2014,1488.1596264,4
AUS,Chronic kidney disease,2015,2183.0,5
AUS,Chronic kidney disease,2016,930.278458,6
