ISO3,Authors,DALYs,Participants,PBR,Participant_Share,DALY_Share,A_global_share,P_burden_global_share,P_participant_global_share,A_norm,P_burden_norm,P_participant_norm,Limiting_Factor,Residual,Impact_Scores,Disease,CIS_Country,x,y,Status,Visual_Factor
CAN,32,587459.9959,5317.98941,2.89202072,0.002892021,0.000351739,0.007307604,0.000332814,0.002892021,0.693818847,0.031598902,0.27458225,Over_Performing,1.782466037,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.04889165690434206, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.262187717,0.621491674,0.600864747,Over_Performing,Health_Infrastructure
CHE,14,107236.7574,825.9744324,0.44918013,0.00044918,6.42E-05,0.003197077,6.08E-05,0.00044918,0.862440903,0.016388627,0.12117047,Over_Performing,1.762022582,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.138037118,0.552390921,0.746895732,Over_Performing,Unknown
CHL,2,735860.7612,507,0.275715951,0.000275716,0.000440593,0.000456725,0.000416887,0.000275716,0.397384572,0.362722281,0.239893148,Over_Performing,0.861099011,"{'Research_Investment': 0.08163559691481949, 'Health_Infrastructure': 0.09236910844658688, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.089975961,0.438585433,0.344145134,Over_Performing,Health_Infrastructure
CHN,133,34469640.32,71045.57012,1.872026597,0.038635891,0.020638538,0.030372231,0.019528073,0.038635891,0.34304875,0.220565983,0.436385268,Governance,-0.348699159,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.03675013546313486, 'Governance': 0.16646983144403948}",HIV/AIDS and sexually transmitted infections,-0.271741829,0.607909643,0.297088932,Under,Governance
CIV,19,42087625.35,6558.366711,0.141531476,0.003566561,0.025199771,0.00433889,0.023843887,0.003566561,0.136660806,0.751004229,0.112334964,Governance,-1.60546114,"{'Research_Investment': 0.5769085472745964, 'Health_Infrastructure': 0.07378217131965299, 'Governance': 0.8896203523114652}",HIV/AIDS and sexually transmitted infections,-0.034387075,0.180665368,0.11835173,Under,Governance
CMR,19,41383239.64,5630,0.123565056,0.003061698,0.024778023,0.00433889,0.023444832,0.003061698,0.140665622,0.76007498,0.099259399,Governance,-2.140168648,"{'Research_Investment': 0.3345940012814914, 'Health_Infrastructure': 0.08101439464837748, 'Governance': 0.7740615594307354}",HIV/AIDS and sexually transmitted infections,-0.02451937,0.16959221,0.121820002,Under,Governance
COD,8,51095974.87,6415.155256,0.114033445,0.00348868,0.030593478,0.001826901,0.028947384,0.00348868,0.053319995,0.844859286,0.101820719,Governance,-0.995111946,"{'Research_Investment': 0.6973797778320118, 'Health_Infrastructure': 0.07654941749926282, 'Governance': 1.1018200064378134}",HIV/AIDS and sexually transmitted infections,-0.019062882,0.128480716,0.04617647,Under,Governance
COL,6,3978494.013,1112.742956,0.254031696,0.00060513,0.002382105,0.001370176,0.002253935,0.00060513,0.323976788,0.532940759,0.143082453,Multiple_Factors,-0.625995915,"{'Research_Investment': 0.10771501837409865, 'Health_Infrastructure': 0.11666081859471848, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.083054375,0.305070847,0.280572129,Under,Multiple_Factors
CYP,1,9844.971066,200,0.108763689,0.000108764,5.89E-06,0.000228363,5.58E-06,0.000108764,0.666355734,0.016274894,0.317369372,Over_Performing,5.617784127,"{'Research_Investment': 0.2639443500703892, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.01594948,0.650547239,0.577080994,Over_Performing,Research_Investment
CZE,1,44410.07386,143,0.077766037,7.78E-05,2.66E-05,0.000228363,2.52E-05,7.78E-05,0.689316947,0.075944798,0.234738254,Over_Performing,3.48515478,"{'Research_Investment': 0.02254107614917285, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,0.00395558,0.579396728,0.596965988,Over_Performing,Research_Investment
DEU,11,906134.0976,1179.170345,0.641254581,0.000641255,0.000542544,0.002511989,0.000513352,0.000641255,0.685101227,0.140007763,0.17489101,As_Expected,0.170630072,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.178760545,0.517441624,0.593315067,As_Expected,Unknown
DNK,9,52592.87752,312.5529857,0.169972078,0.000169972,3.15E-05,0.002055264,2.98E-05,0.000169972,0.911412535,0.013212865,0.075374599,Over_Performing,2.073587156,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.025065508781198495, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.049217936,0.531080867,0.789306409,Over_Performing,Health_Infrastructure
DOM,4,3078314.192,125.3181732,0.036975399,6.82E-05,0.001843126,0.000913451,0.001743956,6.82E-05,0.335142695,0.639853121,0.025004185,Research_Investment,-3.044789262,"{'Research_Investment': 0.3665641622986015, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,0.033642719,0.192575532,0.290242087,Under,Research_Investment
ECU,1,1802403.05,6.057699111,0.003052583,3.29E-06,0.00107918,0.000228363,0.001021115,3.29E-06,0.182285921,0.815084479,0.0026296,Research_Investment,-3.231559615,"{'Research_Investment': 0.28416978324075465, 'Health_Infrastructure': 0.0, 'Governance': 0.023828546947428836}",HIV/AIDS and sexually transmitted infections,0.060452249,0.093772561,0.157864239,Under,Research_Investment
EGY,2,1398123.976,160,0.087010951,8.70E-05,0.00083712,0.000456725,0.000792079,8.70E-05,0.341907609,0.592955409,0.065136982,Governance,-0.549269328,"{'Research_Investment': 0.034242860603255175, 'Health_Infrastructure': 0.009109405014712808, 'Governance': 0.2230930080248687}",HIV/AIDS and sexually transmitted infections,-0.00231987,0.236090786,0.296100675,Under,Governance
ESP,37,1671213.062,10531.74755,5.723746379,0.005727359,0.001000631,0.008449418,0.000946792,0.005727359,0.558692082,0.062603728,0.37870419,Over_Performing,0.752415972,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.031056927084170193, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.136507869,0.658050231,0.483841536,Over_Performing,Health_Infrastructure
EST,2,52209.32972,890,0.483998414,0.000483998,3.13E-05,0.000456725,2.96E-05,0.000483998,0.470704339,0.030483435,0.498812226,Over_Performing,3.934270113,"{'Research_Investment': 0.21882744093402898, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.146183159,0.734164395,0.407641915,Over_Performing,Research_Investment
ETH,23,49381761.98,13024.27328,0.239551382,0.00708284,0.029567101,0.005252341,0.027976232,0.00708284,0.130294137,0.694002766,0.175703097,Governance,-1.846958511,"{'Research_Investment': 0.39986691274023106, 'Health_Infrastructure': 0.08649196984304697, 'Governance': 1.1423596119649855}",HIV/AIDS and sexually transmitted infections,-0.078147562,0.240850165,0.112838033,Under,Governance
FRA,38,1311303.301,8621.426566,4.688490771,0.004688491,0.000785137,0.00867778,0.000742892,0.004688491,0.615045708,0.052653171,0.332301121,Over_Performing,1.699099968,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.19944326,0.639823975,0.532645208,Over_Performing,Unknown
GBR,103,781866.6141,47339.44508,20,0.025744063,0.000468139,0.023521352,0.000442951,0.025744063,0.473186988,0.008910987,0.517902025,Over_Performing,2.893653738,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,1.363675731,0.754495519,0.409791952,Over_Performing,Unknown
GEO,4,63593.36431,621.0906814,0.337760567,0.000337761,3.81E-05,0.000913451,3.60E-05,0.000337761,0.709620207,0.027988226,0.262391567,Over_Performing,1.48057651,"{'Research_Investment': 0.34955006406844613, 'Health_Infrastructure': 0.0, 'Governance': 0.04701084940176518}",HIV/AIDS and sexually transmitted infections,-0.10842161,0.617201671,0.614549127,Over_Performing,Research_Investment
GHA,9,26581717.49,2816.369644,0.096231749,0.001531594,0.01591568,0.002055264,0.015059331,0.001531594,0.110224337,0.807635886,0.082139777,Governance,-1.685721342,"{'Research_Investment': 0.27853804422611517, 'Health_Infrastructure': 0.07945172023591109, 'Governance': 0.5190850325223675}",HIV/AIDS and sexually transmitted infections,-0.008249008,0.137251946,0.095457076,Under,Governance
GIN,1,7068825.149,2.975615605,0.000382333,1.62E-06,0.004232426,0.000228363,0.004004699,1.62E-06,0.053926779,0.945691092,0.000382129,Governance,-4.570678413,"{'Research_Investment': 0.6239675655967672, 'Health_Infrastructure': 0.07786336172843007, 'Governance': 1.104013527740573}",HIV/AIDS and sexually transmitted infections,0.062790899,0.027345518,0.04670196,Under,Governance
GMB,1,1615744.614,48,0.026103285,2.61E-05,0.00096742,0.000228363,0.000915367,2.61E-05,0.195209583,0.782476734,0.022313682,Governance,-1.340195615,"{'Research_Investment': 0.590032454707408, 'Health_Infrastructure': 0.08209544400094632, 'Governance': 0.9523222068055979}",HIV/AIDS and sexually transmitted infections,0.04187905,0.119918474,0.169056458,Under,Governance
GNB,1,1786546.649,365,0.185562522,0.000198494,0.001069687,0.000228363,0.001012132,0.000198494,0.158696695,0.703363495,0.13793981,Over_Performing,0.558281942,"{'Research_Investment': 0.6619642864561751, 'Health_Infrastructure': 0.07450550425389153, 'Governance': 1.0227876896494743}",HIV/AIDS and sexually transmitted infections,-0.05670622,0.217288157,0.137435369,Over_Performing,Governance
HND,1,407813.086,400,0.217527377,0.000217527,0.000244176,0.000228363,0.000231038,0.000217527,0.337351338,0.341303841,0.321344821,Over_Performing,2.180944265,"{'Research_Investment': 0.6393240706352938, 'Health_Infrastructure': 0.041364910918228484, 'Governance': 0.4188429509212544}",HIV/AIDS and sexually transmitted infections,-0.070195872,0.49002049,0.292154828,Over_Performing,Research_Investment
HTI,19,12524227.64,6575.814183,0.476881355,0.003576049,0.007498823,0.00433889,0.007095346,0.003576049,0.289061137,0.472698953,0.23823991,Multiple_Factors,-1.092206452,"{'Research_Investment': 0.5788556694639659, 'Health_Infrastructure': 0.06980937024964559, 'Governance': 0.7332579336951888}",HIV/AIDS and sexually transmitted infections,-0.144577223,0.382770478,0.250334288,Under,Multiple_Factors
HUN,1,158582.4144,156,0.084835677,8.48E-05,9.50E-05,0.000228363,8.98E-05,8.48E-05,0.566600499,0.222910004,0.210489496,Over_Performing,2.63089041,"{'Research_Investment': 0.05986038393836737, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.000898465,0.493789746,0.490690426,Over_Performing,Research_Investment
IDN,8,14935659.08,1654.671336,0.100623429,0.000899841,0.008942657,0.001826901,0.008461494,0.000899841,0.163287689,0.756284902,0.080427409,Multiple_Factors,-1.571430162,"{'Research_Investment': 0.23603729237999418, 'Health_Infrastructure': 0.22607464768887758, 'Governance': 0.1355711413192631}",HIV/AIDS and sexually transmitted infections,-0.01102705,0.162071254,0.141411287,Under,Multiple_Factors
IND,95,144991917.7,49386.83124,0.309370665,0.02685747,0.08681324,0.021694451,0.082142219,0.02685747,0.16599406,0.628507287,0.205498653,Governance,-1.813039014,"{'Research_Investment': 0.1264466437291644, 'Health_Infrastructure': 0.20441803279372275, 'Governance': 0.39267415304711234}",HIV/AIDS and sexually transmitted infections,-0.100245187,0.288495683,0.143755073,Under,Governance
IRL,2,28815.98185,2.99896892,0.001630895,1.63E-06,1.73E-05,0.000456725,1.63E-05,1.63E-06,0.962172508,0.034391724,0.003435768,Health_Infrastructure,-1.209540449,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.040903639768086766, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,0.061681348,0.484522022,0.833265835,Under,Health_Infrastructure
IRN,5,1136037.013,464,0.252331758,0.000252332,0.000680197,0.001141813,0.000643599,0.000252332,0.560332125,0.315838873,0.123829003,Governance,-0.521509995,"{'Research_Investment': 0.03793819085761197, 'Health_Infrastructure': 0.0, 'Governance': 0.1925121095273806}",HIV/AIDS and sexually transmitted infections,-0.08249402,0.403995065,0.485261854,Under,Governance
ITA,23,1346011.221,1550.880065,0.843397182,0.000843397,0.000805918,0.005252341,0.000762555,0.000843397,0.765837884,0.111187323,0.122974793,As_Expected,-0.096511708,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.212840813,0.505893735,0.663235063,As_Expected,Unknown
JAM,5,669980.0936,1428,0.776572737,0.000776573,0.000401147,0.001141813,0.000379564,0.000776573,0.4968835,0.1651749,0.3379416,Over_Performing,1.864545033,"{'Research_Investment': 0.3832522701771926, 'Health_Infrastructure': 0.034524830877501814, 'Governance': 0.03913978556916019}",HIV/AIDS and sexually transmitted infections,-0.202346091,0.58638335,0.430313734,Over_Performing,Research_Investment
JPN,5,626592.2299,319.8989684,0.173966959,0.000173967,0.000375169,0.001141813,0.000354983,0.000173967,0.683408145,0.21246761,0.104124244,Multiple_Factors,0.305095098,{},HIV/AIDS and sexually transmitted infections,-0.051185982,0.445828317,0.591848815,Over_Performing,Multiple_Factors
KAZ,7,489869.8257,3508,1.907715098,0.001907715,0.000293307,0.001598538,0.000277526,0.001907715,0.422471378,0.073346184,0.504182438,Over_Performing,2.219287593,"{'Research_Investment': 0.2636182504884826, 'Health_Infrastructure': 0.0, 'Governance': 0.14884248165373148}",HIV/AIDS and sexually transmitted infections,-0.272225981,0.715418127,0.365870946,Over_Performing,Research_Investment
KEN,267,108823204.5,102458.3126,0.855140453,0.05571872,0.06515739,0.060972825,0.061651571,0.05571872,0.341884937,0.345690781,0.312424283,Governance,-0.573524391,"{'Research_Investment': 0.24770504959321382, 'Health_Infrastructure': 0.07278165434639432, 'Governance': 0.5649747471385052}",HIV/AIDS and sexually transmitted infections,-0.214285542,0.483366751,0.29608104,Under,Governance
KHM,10,3377649.299,3126.672561,0.840774653,0.001700342,0.002022352,0.002283626,0.001913538,0.001700342,0.387218935,0.324465648,0.288315417,As_Expected,0.013706602,"{'Research_Investment': 0.5719959725523166, 'Health_Infrastructure': 0.07029227282959595, 'Governance': 0.685262167257201}",HIV/AIDS and sexually transmitted infections,-0.212467008,0.481924885,0.335341435,As_Expected,Governance
KOR,3,680280.1353,235,0.127797334,0.000127797,0.000407315,0.000685088,0.000385399,0.000127797,0.571724111,0.321625611,0.106650278,As_Expected,-0.262680315,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.026887284,0.392512334,0.495127604,As_Expected,Unknown
LBR,3,3915748.827,1747,0.405219038,0.000950051,0.002344536,0.000685088,0.002218388,0.000950051,0.17778207,0.575677309,0.246540621,As_Expected,-0.019028243,"{'Research_Investment': 0.6780570932042594, 'Health_Infrastructure': 0.08368283694094555, 'Governance': 0.8710207084205867}",HIV/AIDS and sexually transmitted infections,-0.126754722,0.335431656,0.153963789,As_Expected,Governance
LSO,13,13955047.08,3153.47911,0.205243974,0.00171492,0.00835552,0.002968714,0.007905948,0.00171492,0.235807215,0.62797539,0.136217395,Multiple_Factors,-1.186683705,"{'Research_Investment': 0.7374831583126159, 'Health_Infrastructure': 0.06940788729073338, 'Governance': 0.7440813582658709}",HIV/AIDS and sexually transmitted infections,-0.065354723,0.254121003,0.204215038,Under,Multiple_Factors
LTU,1,125395.8518,185,0.100606412,0.000100606,7.51E-05,0.000228363,7.10E-05,0.000100606,0.570893014,0.177596941,0.251510045,Over_Performing,2.851849641,"{'Research_Investment': 0.16345442795580747, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.011016463,0.536956552,0.494407853,Over_Performing,Research_Investment
MDA,1,285487.8439,0.869344115,0.000472765,4.73E-07,0.000170935,0.000228363,0.000161737,4.73E-07,0.584686594,0.414102964,0.001210441,Research_Investment,-3.699018315,"{'Research_Investment': 0.514882494459404, 'Health_Infrastructure': 0.0, 'Governance': 0.0069711905956990295}",HIV/AIDS and sexually transmitted infections,0.062708218,0.293553739,0.506353444,Under,Research_Investment
MDG,5,7217300.346,1526,0.192039921,0.000829867,0.004321325,0.001141813,0.004088815,0.000829867,0.188402639,0.674666799,0.136930561,Over_Performing,0.684225323,"{'Research_Investment': 0.7745379456729825, 'Health_Infrastructure': 0.07455243083350464, 'Governance': 0.8435143800522698}",HIV/AIDS and sexually transmitted infections,-0.059653523,0.231131881,0.163161472,Over_Performing,Governance
MEX,21,8167390.367,7640.87055,0.849711099,0.004155246,0.004890187,0.004795615,0.004627069,0.004155246,0.353191927,0.340778643,0.30602943,As_Expected,-0.225986547,"{'Research_Investment': 0.10034876831499752, 'Health_Infrastructure': 0.1693962752033053, 'Governance': 0.0015812365256517905}",HIV/AIDS and sexually transmitted infections,-0.213674194,0.482625393,0.305873181,As_Expected,Health_Infrastructure
MMR,2,12048467.03,600,0.045230482,0.000326291,0.007213964,0.000456725,0.006825814,0.000326291,0.060025691,0.897091098,0.042883211,Multiple_Factors,-1.849524561,"{'Research_Investment': 0.6974259907076349, 'Health_Infrastructure': 0.025305592561739778, 'Governance': 0.8214451101243601}",HIV/AIDS and sexually transmitted infections,0.027474414,0.072896057,0.051983773,Under,Multiple_Factors
MNG,5,169382.0661,546.995545,0.297466266,0.000297466,0.000101417,0.001141813,9.60E-05,0.000297466,0.743736241,0.062504883,0.193758876,Over_Performing,0.919559299,"{'Research_Investment': 0.47284774469669516, 'Health_Infrastructure': 0.0, 'Governance': 0.008792270671333115}",HIV/AIDS and sexually transmitted infections,-0.096692851,0.565626996,0.644094478,Over_Performing,Research_Investment
MOZ,18,81111033.54,6709.340535,0.075129701,0.003648663,0.048564856,0.004110528,0.045951805,0.003648663,0.076530466,0.855538133,0.0679314,Governance,-3.059549442,"{'Research_Investment': 0.6290610032615837, 'Health_Infrastructure': 0.08544380920439502, 'Governance': 1.0958598809430877}",HIV/AIDS and sexually transmitted infections,0.005816153,0.106196633,0.066277328,Under,Governance
MUS,2,97432.70901,1.326226641,0.000721227,7.21E-07,5.83E-05,0.000456725,5.52E-05,7.21E-07,0.890919171,0.107673956,0.001406873,Research_Investment,-2.345638148,"{'Research_Investment': 0.3622560525145426, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,0.06248446,0.446866459,0.771558635,Under,Research_Investment
MWI,134,49572625.04,78131.5421,1.431516117,0.042489374,0.02968138,0.030600594,0.028084361,0.042489374,0.302454132,0.277583867,0.419962001,As_Expected,-0.064162438,"{'Research_Investment': 0.4050648242895765, 'Health_Infrastructure': 0.09051615800929996, 'Governance': 0.8561206322383955}",HIV/AIDS and sexually transmitted infections,-0.253521403,0.571189067,0.261932961,As_Expected,Governance
MYS,13,2781779.325,2738.546339,0.894147531,0.001489272,0.001665577,0.002968714,0.00157596,0.001489272,0.492002073,0.261182357,0.246815569,As_Expected,0.012554469,"{'Research_Investment': 0.0, 'Health_Infrastructure': 2.9356970142937924e-17, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.217788976,0.492816606,0.426086294,As_Expected,Health_Infrastructure
NAM,3,7534099.133,1429.355017,0.172313992,0.00077731,0.004511007,0.000685088,0.00426829,0.00077731,0.119547237,0.74481292,0.135639843,As_Expected,0.106203004,"{'Research_Investment': 0.40494352082034335, 'Health_Infrastructure': 0.04097964949300968, 'Governance': 0.3726788278106936}",HIV/AIDS and sexually transmitted infections,-0.050381811,0.195413461,0.103530944,As_Expected,Research_Investment
NER,1,3684415.404,472,0.116355033,0.000256682,0.002206027,0.000228363,0.002087331,0.000256682,0.088775003,0.811440846,0.099784152,Governance,0.351422556,"{'Research_Investment': 0.7107619092599106, 'Health_Infrastructure': 0.08989047028112508, 'Governance': 1.3770112820226847}",HIV/AIDS and sexually transmitted infections,-0.020410235,0.144171653,0.076881407,Over_Performing,Governance
NGA,36,124884295.9,11351.8682,0.082560302,0.006173355,0.074773894,0.008221055,0.070750655,0.006173355,0.096553511,0.830942519,0.07250397,Governance,-2.886747812,"{'Research_Investment': 0.26098202185567826, 'Health_Infrastructure': 0.05086386670601172, 'Governance': 0.8059226691424786}",HIV/AIDS and sexually transmitted infections,0.000622106,0.120780726,0.083617793,Under,Governance
NLD,15,163853.1067,15397.27214,8.373320559,0.008373321,9.81E-05,0.00342544,9.28E-05,0.008373321,0.288055696,0.00780616,0.704138144,Over_Performing,2.70844527,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,0.069607148,0.848165992,0.24946355,Over_Performing,Unknown
NOR,4,36361.37231,115.266356,0.06268397,6.27E-05,2.18E-05,0.000913451,2.06E-05,6.27E-05,0.916443366,0.020667288,0.062889346,Over_Performing,2.615461274,"{'Research_Investment': 0.0, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,0.014728909,0.521111029,0.793663236,Over_Performing,Unknown
NPL,2,2898214.911,264,0.082734206,0.000143568,0.001735293,0.000456725,0.001641925,0.000143568,0.203693521,0.732276991,0.064029487,Governance,-0.790924885,"{'Research_Investment': 0.3417226865078284, 'Health_Infrastructure': 0.009300345984229155, 'Governance': 0.6385947534842513}",HIV/AIDS and sexually transmitted infections,0.000503008,0.165876248,0.176403764,Under,Governance
NZL,2,30612.98602,29.80232165,0.016207052,1.62E-05,1.83E-05,0.000456725,1.73E-05,1.62E-05,0.931568646,0.035374323,0.033057031,Over_Performing,0.809191386,"{'Research_Investment': 0.042127761993807404, 'Health_Infrastructure': 0.05246469163045028, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,0.049637346,0.498841354,0.806762113,Over_Performing,Health_Infrastructure
PAK,2,14389142.71,226,0.014265444,0.000122903,0.008615433,0.000456725,0.008151876,0.000122903,0.052307744,0.933616449,0.014075807,Governance,-2.911847424,"{'Research_Investment': 0.26064075818165483, 'Health_Infrastructure': 0.0, 'Governance': 0.8096398476262368}",HIV/AIDS and sexually transmitted infections,0.051189184,0.040229679,0.045299835,Under,Governance
PER,34,2795302.154,23226.61162,7.546904626,0.01263106,0.001673674,0.00776433,0.001583622,0.01263106,0.353261106,0.072051537,0.574687357,As_Expected,-0.087961473,"{'Research_Investment': 0.2416029114056836, 'Health_Infrastructure': 0.0, 'Governance': 0.0}",HIV/AIDS and sexually transmitted infections,-0.002183325,0.75131791,0.305933092,As_Expected,Research_Investment
PHL,4,8145331.337,1671.227652,0.186353958,0.000908844,0.004876979,0.000913451,0.004614572,0.000908844,0.141909195,0.716897197,0.141193608,Research_Investment,-0.508167077,"{'Research_Investment': 0.3704263063727761, 'Health_Infrastructure': 0.0, 'Governance': 0.12791335718616675}",HIV/AIDS and sexually transmitted infections,-0.057074731,0.212148205,0.122896968,Under,Research_Investment
