PMID,TA,JID,Category
38632115,J Occup Rehabil,9202814,E
36630619,Psychother Res,9110958,F
31641754,Clin Infect Dis,9203213,C
39540587,Allergy,7804028,C
39377252,Dis Esophagus,8809160,C
32700515,Oral Health Prev Dent,101167768,E
38408431,J Natl Compr Canc Netw,101162515,C
39735636,Int J Chron Obstruct Pulmon Dis,101273481,C
24981319,Mod Rheumatol,100959226,C
39418029,JAMA Oncol,101652861,C
39631064,J Med Internet Res,100959882,H
39108069,J Sleep Res,9214441,G
39768946,Medicina (Kaunas),9425208,H
36501195,Nutrients,101521595,H
39621709,PLoS One,101285081,H
39475095,Eur Endod J,101717480,E
39572271,Br J Anaesth,372541,H
33002429,Lancet,2985213R,H
39615055,Braz J Psychiatry,100895975,H
38353970,JAMA Cardiol,101676033,C
38861957,ORL J Otorhinolaryngol Relat Spec,334721,H
37816436,J Pain Symptom Manage,8605836,E
39225105,Intern Med J,101092952,H
39585572,Clin Rheumatol,8211469,H
39683518,Nutrients,101521595,H
39859010,Medicina (Kaunas),9425208,H
37491715,Ear Hear,8005585,H
39546623,Eur J Endocrinol,9423848,D
39665330,Acta Oncol,8709065,G
39627816,Stem Cell Res Ther,101527581,A
39806719,BMJ Open,101552874,H
38656373,Cancer Epidemiol Biomarkers Prev,9200608,C
16478570,Int Psychogeriatr,9007918,F
38006674,Drug Alcohol Depend,7513587,C
37803244,AIDS Behav,9712133,N
39215812,Diabetologia,6777,C
39691156,Int J Chron Obstruct Pulmon Dis,101273481,C
16191241,Int Psychogeriatr,9007918,F
39313221,Br J Clin Pharmacol,7503323,H
38809322,Adm Policy Ment Health,8914574,F
22185768,Int Psychogeriatr,9007918,F
17597552,Int Psychogeriatr,9007918,F
39473076,Eur J Haematol,8703985,H
38277735,Drug Alcohol Depend,7513587,C
36256688,Disabil Rehabil Assist Technol,101255937,E
39702423,BMC Psychol,101627676,F
37474761,Neuropsychopharmacology,8904907,F
39344283,Orthop Surg,101501666,E
36681445,Lancet Neurol,101139309,H
39424963,Nat Hum Behav,101697750,H
38631679,J Clin Periodontol,425123,E
39180477,J Natl Cancer Inst,7503089,C
39969295,Medicine (Baltimore),2985248R,N
39615342,Vaccine,8406899,D
39305392,Breast Cancer Res Treat,8111104,C
39607286,Eur J Neurol,9506311,C
26572551,Int Psychogeriatr,9007918,F
37078540,Acta Ophthalmol,101468102,C
29609475,Psychol Health,8807983,I
38100554,Int J Clin Exp Hypn,376166,E
39340233,Clin Oral Implants Res,9105713,D
38036026,J Am Med Dir Assoc,100893243,E
39707287,BMC Musculoskelet Disord,100968565,C
39781402,ScientificWorldJournal,101131163,N
37643414,J Acquir Immune Defic Syndr,100892005,C
39508426,Headache,2985091R,C
39093063,J Back Musculoskelet Rehabil,9201340,A
37401516,Eur J Cancer Prev,9300837,C
39393522,Pulm Pharmacol Ther,9715279,C
38117299,Clin Res Cardiol,101264123,C
39812416,BJS Open,101722685,E
39724376,JAMA Netw Open,101729235,N
37732961,Exp Clin Psychopharmacol,9419066,F
39173125,Issues Ment Health Nurs,7907126,H
34633894,Scand J Urol,101587186,E
39800961,J Oral Facial Pain Headache,101624698,C
38682315,Can J Psychiatry,7904187,F
39758307,Ethiop J Health Sci,101224773,H
39576946,J Clin Oncol,8309333,H
39701054,Neuroimmunomodulation,9422763,G
39376062,Korean J Anesthesiol,101502451,H
39630848,Mol Oncol,101308230,C
39737649,Muscle Nerve,7803146,C
30636466,Nord J Psychiatry,100927567,H
39571253,Gait Posture,9416830,I
38934147,Dermatology,9203244,C
26615182,J Am Med Inform Assoc,9430800,L
38181048,J Infect Dis,413675,C
37732877,J Acquir Immune Defic Syndr,100892005,C
35311438,Disabil Rehabil,9207179,E
36346336,Oral Health Prev Dent,101167768,E
39173598,Dig Dis,8701186,C
37715654,Am J Hum Biol,8915029,H
38047482,Hand (N Y),101264149,A
39411812,J Clin Oncol,8309333,H
39432292,JAMA Pediatr,101589544,H
39845432,Depress Anxiety,9708816,F
39673367,Allergy,7804028,C
35080187,Future Oncol,101256629,C
39699212,Antimicrob Agents Chemother,315061,E
37580416,Eye (Lond),8703986,H
38374568,J Pediatr Gastroenterol Nutr,8211545,C
38358703,J Consult Clin Psychol,136553,F
38301682,Lancet Rheumatol,101765308,H
39767514,Int J Environ Res Public Health,101238455,E
39609425,Blood Cancer J,101568469,C
37955852,Diabetes Care,7805975,C
15139870,Addiction,9304118,C
36749892,J Am Coll Health,8214119,N
39545822,J Appl Clin Med Phys,101089176,H
37855277,Cogn Behav Ther,101143317,F
39734337,Turk J Med Sci,9441758,H
37789744,Am J Psychiatry,370512,F
34047672,Int J Clin Exp Hypn,376166,E
39240624,J Back Musculoskelet Rehabil,9201340,A
39051906,Int J Surg,101228232,E
39187595,Nat Cancer,101761119,C
37748124,J Clin Oncol,8309333,H
32141389,Acta Oncol,8709065,G
39558580,Dementia (London),101128698,C
11923242,Invest Ophthalmol Vis Sci,7703701,H
40027084,Pan Afr Med J,101517926,H
26192160,Cogn Emot,8710375,F
39468363,Nat Med,9502015,H
39654241,Medicine (Baltimore),2985248R,N
39667708,Complement Ther Med,9308777,E
39656013,Microbiol Spectr,101634614,G
31848066,Rev Esp Cardiol (Engl Ed),101587954,C
39702557,AIDS Behav,9712133,N
39617882,Nutr J,101152213,G
39772221,Viruses,101509722,B
39584450,J Clin Hypertens (Greenwich),100888554,C
39770987,Nutrients,101521595,H
38922854,Dev Med Child Neurol,6761,H
39723807,J Intern Med,8904841,H
35901401,Rehabil Psychol,365337,E
28782603,J Am Coll Surg,9431305,H
39736868,Front Endocrinol (Lausanne),101555782,H
37700441,J Trauma Acute Care Surg,101570622,C
37517377,Addict Behav,7603486,G
30531556,J Neurosurg Anesthesiol,8910749,E
35232793,Tob Control,9209612,C
39665595,Eur J Sport Sci,101146739,H
24726639,J Psychiatr Res,376331,F
37690525,J Subst Use Addict Treat,9.92E+15,D
39010317,ESC Heart Fail,101669191,C
32063238,Int Psychogeriatr,9007918,F
39796479,Nutrients,101521595,H
26275652,Complement Ther Med,9308777,E
39255425,J Clin Oncol,8309333,H
39671144,CNS Drugs,9431220,D
39717991,J Cosmet Dermatol,101130964,H
37871959,Clin J Am Soc Nephrol,101271570,H
38095903,JAMA Otolaryngol Head Neck Surg,101589542,C
39796573,Nutrients,101521595,H
32568111,J Parkinsons Dis,101567362,C
29734096,J Affect Disord,7906073,F
25882474,J Vestib Res,9104163,A
39640061,F1000Res,101594320,H
39660682,Health Expect,9815926,F
37244469,Clin Microbiol Infect,9516420,H
28440680,Mod Rheumatol,100959226,C
29532981,Hemodial Int,101093910,E
23939305,J Parkinsons Dis,101567362,C
37931426,J Surg Res,376340,H
39771028,Nutrients,101521595,H
24217336,JAMA Pediatr,101589544,H
39363110,Eur J Clin Nutr,8804070,G
39671881,Clinics (Sao Paulo),101244734,H
33872284,Dis Colon Rectum,372764,H
39666392,J Clin Invest,7802877,H
39845683,Front Public Health,101616579,H
36847894,J Autism Dev Disord,7904301,M
39643866,BMC Cancer,100967800,C
39353164,J Clin Oncol,8309333,H
38038620,Pediatr Crit Care Med,100954653,E
39118245,J Sleep Res,9214441,G
38154599,Am J Obstet Gynecol MFM,101746609,H
33501845,Appl Neuropsychol Child,101584990,C
38723047,Brain,372537,H
38258673,Lancet Rheumatol,101765308,H
38497740,Psychother Res,9110958,F
36469647,Scand J Gastroenterol,60105,H
36066977,JCI Insight,101676073,H
30379086,Amyotroph Lateral Scler Frontotemporal Degener,101587185,F
33449799,J Clin Oncol,8309333,H
39721752,J Immunother Cancer,101620585,C
39289583,Int J Obes (Lond),101256108,C
39670280,Drug Des Devel Ther,101475745,D
38350221,Behav Res Ther,372477,F
39981153,Med Arch,101635337,H
39806675,BMJ Open,101552874,H
28278742,Cogn Emot,8710375,F
37992266,J Clin Oncol,8309333,H
15369567,Addiction,9304118,C
39806715,BMJ Open,101552874,H
30299202,Mod Rheumatol,100959226,C
39731040,BMC Psychiatry,100968559,F
39732948,Sci Rep,101563288,H
39282788,Eur J Heart Fail,100887595,C
19193252,Int Psychogeriatr,9007918,F
38873861,Head Neck,8902541,A
36787249,J Clin Invest,7802877,H
39668955,Front Public Health,101616579,H
37830985,Am J Physiol Heart Circ Physiol,100901228,G
38997790,Int J Dent Hyg,101168070,E
39642635,ESMO Open,101690685,C
39228122,Clin Implant Dent Relat Res,100888977,D
39155430,Int J Nurs Pract,9613615,H
37968160,Am J Geriatr Psychiatry,9309609,F
37650808,Fam Syst Health,9610836,F
38278493,Diabetes Res Clin Pract,8508335,C
38032621,J Consult Clin Psychol,136553,F
17403840,Pediatrics,376422,H
39768899,Medicina (Kaunas),9425208,H
33263418,Future Oncol,101256629,C
39529289,Can J Psychiatry,7904187,F
31450983,Expert Opin Pharmacother,100897346,H
39487386,Cancer,374236,C
28758793,Amyloid,9433802,C
39194424,Otolaryngol Head Neck Surg,8508176,H
39023723,J Interv Card Electrophysiol,9708966,H
38087040,Br J Cancer,370635,C
28937272,Aging Ment Health,9705773,N
37843843,Clin J Am Soc Nephrol,101271570,H
39161267,J Cosmet Dermatol,101130964,H
39324506,BJU Int,100886721,C
38717025,Am J Gastroenterol,421030,H
39836543,BJS Open,101722685,E
23771842,Diabetes Educ,7701401,C
38472421,Br J Cancer,370635,C
39023499,JACC Cardiovasc Imaging,101467978,E
37524828,Eye (Lond),8703986,H
38857019,JAMA,7501160,H
39453837,N Engl J Med,255562,H
39709367,BMC Complement Med Ther,101761232,E
39648632,Clin Pharmacol Drug Dev,101572899,E
31899185,Rev Esp Cardiol (Engl Ed),101587954,C
33028623,Int J Gynecol Cancer,9111626,C
39018532,N Engl J Med,255562,H
24884910,Health Psychol,8211523,F
39739975,PLoS One,101285081,H
39497517,Diabet Med,8500858,C
33448906,Nutr Neurosci,100892202,A
39816053,Narra J,9.92E+15,D
38015120,J Nurs Res,101128757,H
37689323,J Pain,100898657,C
37956741,J Pain,100898657,C
38744742,J Autism Dev Disord,7904301,M
34269067,Future Oncol,101256629,C
25272149,J Clin Psychiatry,7801243,F
39806623,BMJ Open,101552874,H
39647999,J Clin Oncol,8309333,H
37846080,Curr Med Res Opin,351014,H
32504574,Lancet HIV,101645355,C
39709442,Mol Autism,101534222,F
29219638,Mod Rheumatol,100959226,C
39709461,Cancer Imaging,101172931,C
38306577,Clin Infect Dis,9203213,C
39589157,Eur J Phys Rehabil Med,101465662,E
39764357,Clin Interv Aging,101273480,I
17509164,Clin Breast Cancer,100898731,C
39635218,Front Public Health,101616579,H
38497955,JAMA Intern Med,101589534,H
39816069,Narra J,9.92E+15,D
36746057,Behav Res Ther,372477,F
32324065,Curr Med Res Opin,351014,H
25751130,Arch Suicide Res,9504451,F
39636391,Arch Gynecol Obstet,8710213,H
33317345,Expert Opin Biol Ther,101125414,E
39397754,Interv Neuroradiol,9602695,E
39614147,BMC Geriatr,100968548,H
29787488,Optom Vis Sci,8904931,H
39683579,Nutrients,101521595,H
39235362,Sleep,7809084,G
39717777,Front Immunol,101560960,G
39385258,Cardiovasc Diabetol,101147637,C
32099975,Oral Health Prev Dent,101167768,E
37254502,Expert Rev Med Devices,101230445,E
39768900,Medicina (Kaunas),9425208,H
38485614,Eur Urol Oncol,101724904,C
39400996,Arthritis Care Res (Hoboken),101518086,C
37805355,J Cyst Fibros,101128966,C
27502883,Afr J Paediatr Surg,101255062,E
30445896,HIV Clin Trials,100936377,E
39781908,Immunotherapy,101485158,E
39726018,J Orthop Surg Res,101265112,E
38190054,J Autism Dev Disord,7904301,M
39506073,Bone Marrow Transplant,8702459,E
39446853,Indian J Ophthalmol,405376,H
36066009,Nutr Neurosci,100892202,A
37997760,Hand (N Y),101264149,A
19246990,Hum Vaccin,101265291,D
39639184,BMC Pregnancy Childbirth,100967799,C
33103925,Nord J Psychiatry,100927567,H
39137443,Appl Physiol Nutr Metab,101264333,H
39441580,JAMA Dermatol,101589530,C
30714388,AIDS Care,8915313,I
39501805,Public Health Nutr,9808463,H
39425957,J Perinat Med,361031,A
39140698,J Adv Nurs,7609811,H
40084239,Front Immunol,101560960,G
39585603,Qual Life Res,9210257,E
33400206,J Cancer Educ,8610343,H
39279669,BJOG,100935741,C
27589536,J Parkinsons Dis,101567362,C
39699245,Antimicrob Agents Chemother,315061,E
38806826,Aesthetic Plast Surg,7701756,H
38676463,Early Interv Psychiatry,101320027,H
39453735,J Clin Pharmacol,366372,H
37075142,N Engl J Med,255562,H
38459910,Inflamm Bowel Dis,9508162,C
39370044,Clin Med (Lond),101092853,H
39379970,BMC Health Serv Res,101088677,H
39591718,Neuroimage Clin,101597070,C
32881912,PLoS One,101285081,H
39623242,Support Care Cancer,9302957,I
39658723,Qual Life Res,9210257,E
33320051,J Sports Sci,8405364,I
39031415,Technol Health Care,9314590,H
39234948,J Cosmet Dermatol,101130964,H
39571379,Braz J Phys Ther,101615124,E
37923395,Bipolar Disord,100883596,F
39641528,J Hosp Palliat Nurs,100887419,E
37140494,Ann Emerg Med,8002646,H
39215646,Circ Cardiovasc Qual Outcomes,101489148,E
39736191,Breast,9213011,A
39231654,J Atheroscler Thromb,9506298,C
39610089,J Diabetes Investig,101520702,C
27707561,Rev Esp Cardiol (Engl Ed),101587954,C
39362749,Int J Gynecol Cancer,9111626,C
39710651,BMC Oral Health,101088684,C
37081029,Sci Rep,101563288,H
39702151,J Orthop Surg Res,101265112,E
37276086,Psychol Addict Behav,8802734,C
39857481,Int J Environ Res Public Health,101238455,E
32141343,Curr Med Res Opin,351014,H
39627405,Sci Rep,101563288,H
37967641,Am Heart J,370465,H
39857475,Int J Environ Res Public Health,101238455,E
38919004,Curr Neuropharmacol,101157239,H
39770889,Nutrients,101521595,H
39917969,Anaesthesiol Intensive Ther,101472620,N
28941361,Hepatology,8302946,C
39565101,Ann Neurol,7707449,H
35188081,Neuropsychol Rehabil,9112672,F
37678381,Pediatr Crit Care Med,100954653,E
39172552,Eur Heart J Cardiovasc Imaging,101573788,E
39614224,BMC Oral Health,101088684,C
33546622,BMC Nephrol,100967793,C
39520157,Technol Health Care,9314590,H
39300596,Arthritis Rheumatol,101623795,C
39714183,Antimicrob Agents Chemother,315061,E
37651209,Telemed J E Health,100959949,H
39616331,World J Surg Oncol,101170544,E
39565561,Clin Pharmacokinet,7606849,H
29627608,PM R,101491319,E
34263700,Scand J Rheumatol,321213,C
27924779,Antivir Ther,9815705,B
39617712,J Tradit Chin Med,8211546,E
38097741,Br J Cancer,370635,C
39660482,Clin Transl Sci,101474067,H
38364317,Alcohol Alcohol,8310684,D
29378476,Acta Chir Belg,370571,H
39413013,J Cosmet Dermatol,101130964,H
38895970,Clin Trials,101197451,H
37943986,Am J Health Promot,8701680,I
38303550,Eur J Heart Fail,100887595,C
38149636,Eat Disord,9315161,C
39732984,Sci Rep,101563288,H
39627729,BMC Oral Health,101088684,C
38940435,Am J Gastroenterol,421030,H
39473305,Eur J Heart Fail,100887595,C
39690412,Reprod Health,101224380,H
32609331,Cardiovasc Res,77427,A
38820549,JAMA,7501160,H
32579813,N Engl J Med,255562,H
34030555,J Asthma,8106454,C
27442625,Psychol Assess,8915253,F
33664127,Int J Gynecol Cancer,9111626,C
39676436,J Int Med Res,346411,H
39031338,J Back Musculoskelet Rehabil,9201340,A
39633469,J Orthop Surg Res,101265112,E
39639534,Clin Rehabil,8802181,E
34511166,Zhongguo Dang Dai Er Ke Za Zhi,100909956,H
37846437,Arthritis Care Res (Hoboken),101518086,C
39716203,BMC Med,101190723,H
37143398,Acta Ophthalmol,101468102,C
36907813,Pulmonology,101723786,C
39352429,Int Urogynecol J,101567041,C
39736576,BMC Pregnancy Childbirth,100967799,C
24774260,Rev Esp Cardiol (Engl Ed),101587954,C
39350186,BMC Med Inform Decis Mak,101088682,L
36995254,Aging Ment Health,9705773,N
37148578,Mult Scler Relat Disord,101580247,C
38853607,J Infect Dis,413675,C
39344419,J Oral Rehabil,433604,E
32519928,Neurodegener Dis Manag,101517977,I
36717163,Int J Gynecol Cancer,9111626,C
37874987,Diabetes Care,7805975,C
39531120,Ann Surg Oncol,9420840,C
38775974,Am J Gastroenterol,421030,H
39126498,Eur Child Adolesc Psychiatry,9212296,M
33739123,J Am Heart Assoc,101580524,C
39301780,J Cosmet Dermatol,101130964,H
38170541,JAMA Psychiatry,101589550,H
30380356,J Diet Suppl,101249830,G
27168463,Mod Rheumatol,100959226,C
38709006,Antimicrob Agents Chemother,315061,E
39629474,Neural Plast,100883417,G
37949690,Surg Obes Relat Dis,101233161,C
39283649,JAMA,7501160,H
38062548,Comput Inform Nurs,101141667,H
33340731,J Vasc Surg Venous Lymphat Disord,101607771,E
24739218,Int Psychogeriatr,9007918,F
39608749,Contemp Clin Trials,101242342,H
30188739,Cancer Invest,8307154,H
39509663,Neurology,401060,H
31403536,Dermatol Surg,9504371,C
30836381,Neuropsychopharmacology,8904907,F
38453026,J Nutr,404243,G
35762946,Cogn Behav Ther,101143317,F
39536524,Neuroimage Clin,101597070,C
31141410,Disabil Rehabil,9207179,E
39418532,Diabetes Care,7805975,C
37156318,Physiol Behav,151504,H
32469621,Ocul Immunol Inflamm,9312169,C
15741469,Am J Psychiatry,370512,F
39396828,Contact Dermatitis,7604950,C
38096946,Am Heart J,370465,H
39642010,Med Care,230027,N
36724109,J Clin Psychiatry,7801243,F
39680411,JAMA Netw Open,101729235,N
39604093,J Inherit Metab Dis,7910918,C
32749942,J Clin Oncol,8309333,H
38916421,NEJM Evid,9.92E+15,D
39796445,Nutrients,101521595,H
39702190,BMC Ophthalmol,100967802,C
39235501,Graefes Arch Clin Exp Ophthalmol,8205248,H
39575649,Ann Clin Transl Neurol,101623278,A
39499199,Int J Cancer,42124,C
39637188,PLoS One,101285081,H
39730820,Sci Rep,101563288,H
37757844,J Acquir Immune Defic Syndr,100892005,C
28391736,Int J Food Sci Nutr,9432922,G
35234569,Scand J Rheumatol,321213,C
39699480,Rev Assoc Med Bras (1992),9308586,H
39168917,Psychopharmacology (Berl),7608025,F
38935085,Int J Surg,101228232,E
25487220,Rev Esp Cardiol (Engl Ed),101587954,C
39733171,Surg Endosc,8806653,E
39109415,Allergy,7804028,C
35483981,J Thorac Cardiovasc Surg,376343,H
39210058,Surg Endosc,8806653,E
38165252,Clin Orthop Relat Res,75674,H
39148201,J Adolesc,7808986,M
24112999,Med Hypotheses,7505668,H
25119602,Tumour Biol,8409922,C
39679850,J Cosmet Dermatol,101130964,H
35899459,Regen Med,101278116,A
37606319,J Sex Res,62647,G
39606899,Int J Gynaecol Obstet,210174,H
39183170,Korean J Anesthesiol,101502451,H
19250558,Int Psychogeriatr,9007918,F
39177587,J Back Musculoskelet Rehabil,9201340,A
25588457,Restor Neurol Neurosci,9005499,H
39702534,Eur J Med Res,9517857,H
34438089,J Vasc Surg Venous Lymphat Disord,101607771,E
39403970,Neurorehabil Neural Repair,100892086,C
38038716,Am J Physiol Heart Circ Physiol,100901228,G
39321425,Blood Adv,101698425,H
39715755,Signal Transduct Target Ther,101676423,G
39160000,Br J Clin Pharmacol,7503323,H
32662699,Subst Use Misuse,9602153,C
24990088,Int Psychogeriatr,9007918,F
39696111,BMC Psychiatry,100968559,F
39180331,J Cosmet Dermatol,101130964,H
38477913,JAMA Cardiol,101676033,C
37935977,Leukemia,8704895,C
27626675,Cogn Emot,8710375,F
39701119,Lancet Microbe,101769019,E
39240040,Eur J Heart Fail,100887595,C
39639252,BMC Med Educ,101088679,I
34872440,World J Biol Psychiatry,101120023,F
39397266,BJU Int,100886721,C
32131911,Int Psychogeriatr,9007918,F
25190222,AIDS Behav,9712133,N
39739622,Int J Cancer,42124,C
39140490,Am J Gastroenterol,421030,H
39671199,JAMA Netw Open,101729235,N
39700313,PLoS Med,101231360,N
37727908,Arthritis Rheumatol,101623795,C
33529664,Int J Cardiol,8200291,H
39635206,Front Public Health,101616579,H
30235002,Nutr Cancer,7905040,G
39320882,JAMA Surg,101589553,E
39609724,BMC Anesthesiol,100968535,D
35816397,Nutr Neurosci,100892202,A
37937383,Clin Pharmacol Drug Dev,101572899,E
37005863,Int J Audiol,101140017,F
39479948,Acta Obstet Gynecol Scand,370343,H
39580618,Med Sci Monit,9609063,H
39616515,Clin Exp Dent Res,101692332,C
32624444,Rev Esp Cardiol (Engl Ed),101587954,C
39315491,J Am Geriatr Soc,7503062,H
39153080,Psychopharmacology (Berl),7608025,F
39395662,J Thorac Oncol,101274235,C
34585874,Oral Health Prev Dent,101167768,E
33983146,J Bone Joint Surg Am,14030,H
39520167,Technol Health Care,9314590,H
36625227,J Health Commun,9604100,I
39707245,BMC Med Educ,101088679,I
39699896,JAMA Netw Open,101729235,N
33757609,Int Psychogeriatr,9007918,F
38117483,JAMA Cardiol,101676033,C
39266383,Eur Urol,7512719,H
39696595,Trials,101263253,E
37975709,Am J Physiol Heart Circ Physiol,100901228,G
37427999,Expert Rev Hematol,101485942,C
39451025,Pediatr Pulmonol,8510590,A
39696349,BMC Health Serv Res,101088677,H
30843453,Scand J Rheumatol,321213,C
38609163,Br J Ophthalmol,421041,H
39031339,J Back Musculoskelet Rehabil,9201340,A
39608227,Neuroimage Clin,101597070,C
38486359,Gerontologist,375327,H
37733263,J Cancer Surviv,101307557,M
39038200,J Eval Clin Pract,9609066,N
39702889,J Foot Ankle Res,101471610,C
38165064,Am J Hematol,7610369,H
37357745,J Telemed Telecare,9506702,H
37942539,Am J Physiol Renal Physiol,100901990,A
38461634,Psychoneuroendocrinology,7612148,F
38103359,Behav Res Ther,372477,F
39515756,J Nutr,404243,G
16516595,Am J Cardiol,207277,H
39769201,Int J Mol Sci,101092791,H
39216715,J Thorac Cardiovasc Surg,376343,H
15748464,Clin Breast Cancer,100898731,C
39704642,Eur J Phys Rehabil Med,101465662,E
36227170,J Clin Child Adolesc Psychol,101133858,F
39724020,PLoS One,101285081,H
39621098,Eur J Psychotraumatol,101559025,F
39806585,BMJ Open,101552874,H
39719648,BMC Psychol,101627676,F
36566274,Nat Commun,101528555,H
29991140,J Neuromuscul Dis,101649948,C
38372246,J Diabetes Sci Technol,101306166,C
38296896,J Clin Psychol Med Settings,9435680,C
15657326,JAMA,7501160,H
39406687,Br J Haematol,372544,H
35984916,Cancer Nurs,7805358,C
34533053,Biomark Med,101312535,D
39759459,Int J Chron Obstruct Pulmon Dis,101273481,C
37751286,J Integr Complement Med,9.92E+15,D
32894251,J Parkinsons Dis,101567362,C
16618375,Int Psychogeriatr,9007918,F
36736469,J Ren Nutr,9112938,G
38885635,Digestion,150472,H
39445594,Oral Health Prev Dent,101167768,E
39415599,Clin Mol Hepatol,101586730,C
39771922,Sensors (Basel),101204366,E
38170601,J Am Soc Nephrol,9013836,H
37698371,Pharmacotherapy,8111305,H
34649982,Pediatrics,376422,H
39661941,JMIR Form Res,101726394,H
39548032,Eur Geriatr Med,101533694,N
37994411,Nutr Cancer,7905040,G
25648589,Int Psychogeriatr,9007918,F
38809262,Clin Cancer Res,9502500,C
39658803,BMC Urol,100968571,C
39226143,Transpl Infect Dis,100883688,A
39183511,Br J Clin Pharmacol,7503323,H
39002005,Eur J Health Econ,101134867,Z
39110531,J Natl Cancer Inst,7503089,C
39730905,Sci Rep,101563288,H
39129177,J Cosmet Dermatol,101130964,H
38299570,J Urol,376374,H
37776876,Lancet Infect Dis,101130150,C
25649881,Acta Otolaryngol,370354,H
31920176,J Asthma,8106454,C
39422765,Eur Heart J Acute Cardiovasc Care,101591369,C
38098145,J Trauma Acute Care Surg,101570622,C
27572272,Int Psychogeriatr,9007918,F
38060250,JAMA Oncol,101652861,C
32811272,Neuropsychol Dev Cogn B Aging Neuropsychol Cogn,9614434,F
31305131,Future Oncol,101256629,C
39702343,Trials,101263253,E
39365094,Acta Obstet Gynecol Scand,370343,H
38783836,Can J Psychiatry,7904187,F
39715475,Neurology,401060,H
33710659,Mov Disord,8610688,C
39443380,Surg Endosc,8806653,E
36056721,J Am Heart Assoc,101580524,C
37291212,Nat Med,9502015,H
