PMID,ISO3
35131974,AUS
20976217,ESP
20976217,MOZ
28316276,USA
22024822,USA
24121976,ITA
26743431,COG
26743431,FRA
12063368,USA
28840637,KOR
30413507,SWE
23073480,USA
30413519,JPN
29889248,FIN
29889248,USA
30413542,CAN
38277865,JPN
38277865,USA
34607865,IND
15733508,SWE
27792133,USA
15733514,NZL
16782094,DNK
16782099,USA
29365017,NLD
29365017,USA
24646429,NOR
22549286,AUT
22549286,CHE
22549286,DEU
22549286,DNK
22549286,ESP
22549286,FIN
22549286,GBR
22549286,ISR
22549286,ITA
22549286,SWE
28840742,GRC
27792174,CZE
22549300,CAN
23073646,USA
19403636,USA
19403640,BGD
19403640,CHE
23073671,USA
19403719,NLD
25695181,USA
38802409,IRN
38802409,USA
16782320,CHE
26743808,GBR
15209480,USA
32510984,CHN
32510984,USA
25695260,USA
29365294,AUS
29365294,CAN
29365294,DEU
29365294,ESP
29365294,FRA
29365294,GBR
29365294,ITA
29365294,SWE
29365294,USA
25170994,USA
38802489,THA
17306709,DEU
29365351,USA
33035370,BRA
33035370,USA
25695341,USA
15209599,USA
18355327,ESP
18355327,GBR
18355327,MEX
18355327,NLD
19403903,FRA
15209605,USA
35656851,USA
22025372,USA
23073950,USA
24646819,IRL
20976845,GRC
39326921,BEL
39326921,DEU
39326921,FRA
39326921,GBR
39326921,GRC
39326921,USA
18355408,GBR
38278366,DNK
38278366,FIN
38278366,GBR
38278366,UGA
21501161,ESP
21501161,GBR
25171195,USA
28841230,USA
29889843,IRN
19928389,USA
37754204,ARG
37754204,BGR
37754204,CHE
37754204,DEU
37754204,GEO
37754204,RUS
37754204,UKR
37754204,USA
38802783,CHN
22025592,USA
23598459,BRA
25695618,FIN
25695618,GBR
25695618,ITA
25695618,SWE
25695618,USA
28317094,NLD
19404219,CAN
19404219,USA
22549948,USA
18355656,KOR
24647158,JPN
38802939,DEU
27268605,PAK
37230105,CHE
37230105,GBR
37230105,THA
37230105,VNM
20452898,DEU
22550054,USA
29890086,USA
21501482,ITA
24647218,AUS
24647218,FRA
24647226,CHN
21501517,ITA
12064336,NLD
35657320,AUS
35657320,SAU
35657320,USA
22550196,CAN
22550196,USA
28841667,AUS
18355913,GBR
18355913,USA
25171662,CAN
39327450,DEU
24647388,FRA
24647388,NOR
24647388,USA
24647391,USA
29890298,USA
28317438,DNK
28317438,ISL
28317438,SWE
28317458,AUS
28317458,BEL
28317458,DEU
28317458,EGY
28317458,ESP
28317458,FIN
28317458,FRA
28317458,GBR
28317458,ITA
28317458,JPN
28317458,KOR
28317458,LVA
28317458,NLD
28317458,PRT
28317458,SAU
28317458,TUR
28317458,USA
28317458,ZAF
30414609,SVN
25171741,GBR
25171741,UGA
27793181,DNK
27793183,TWN
20453154,CHE
27793197,CHN
20453177,USA
20453178,USA
38803266,NLD
38803266,NOR
15734608,JPN
16258899,NLD
15734615,DNK
15734619,JPN
28841828,CUW
28841828,GBR
28841828,NLD
16258919,SWE
21501814,USA
28841852,GBR
28841852,GMB
28841852,NZL
26220439,CHN
23599013,USA
21501872,USA
25171889,USA
15734707,PHL
19929037,USA
39327707,CHN
23599075,USA
15210501,KEN
19404806,SWE
30939143,USA
23599118,USA
26220570,AUS
18356284,USA
18356335,ZAF
18356336,USA
11016328,USA
19404945,FIN
28842164,USA
24123600,FRA
23599316,FIN
23599316,GBR
23599316,GHA
23599316,USA
23075030,IND
23599320,AUS
23599320,NZL
23075043,DEU
24647908,AUT
24647908,HUN
24647908,USA
16783598,USA
22026481,CAN
22026481,USA
23075062,SYR
20453627,USA
20453627,ZAF
39327996,BEL
39327996,JPN
26745086,MYS
26745091,THA
30939398,USA
26220816,DEU
26220816,USA
26745105,JOR
26745107,THA
37755160,ESP
37755160,IRN
37755160,USA
30939422,KOR
23075127,AUS
23075127,NZL
15735101,USA
15735109,PER
15735110,ZAF
15735111,FRA
15735111,VNM
26220871,AUS
26220871,BGD
26220871,IND
20453709,THA
20453709,USA
20453723,USA
20978060,AUS
20978060,GBR
15735182,USA
29890985,AUS
29890985,ESP
29366703,CRI
29366703,FRA
29366703,USA
30415298,CHN
12589529,DEU
36706778,BEN
36706778,GBR
36706778,NAM
36706778,ZAF
15735276,GBR
23599623,CHN
20978193,USA
22551058,AUS
22551058,CAN
22551058,NZL
20978195,USA
16259626,NOR
30415407,JPN
22551105,ARG
22551105,DEU
22551105,GBR
22551105,ITA
22551105,NLD
22551105,POL
22551105,USA
22551107,AUS
22551107,AUT
22551107,CAN
22551107,DEU
22551107,FRA
22551107,GBR
22551107,ITA
22551107,NLD
22551107,NOR
22551107,POL
22551107,SWE
22551107,USA
24648266,USA
22551127,FRA
18356827,JPN
27269740,USA
38279808,GBR
38279808,NGA
38279808,USA
21502597,USA
21502621,GBR
24124061,USA
27794124,GBR
27794124,USA
24648401,USA
36707031,USA
16259812,GBR
30415610,USA
20978447,CAN
30939923,USA
34609956,ARM
34609956,BEL
34609956,DNK
34609956,GBR
34609956,MDA
23075634,AUS
23599941,NLD
22027083,GBR
26745689,USA
23075701,GBR
23075701,USA
25172879,USA
22551440,AUS
22551440,BEL
22551440,CHE
22551440,FRA
22551440,IRL
22551440,ITA
19930005,GBR
25172891,USA
28318624,FRA
24124328,NLD
22551472,GBR
24124358,JPN
29891538,GBR
29891538,USA
38804439,DEU
38804439,GBR
38804439,UKR
38804439,USA
25172965,CAN
25172965,ISR
25172965,ITA
25172965,SRB
25172965,USA
27270119,GBR
22027241,CHN
22551551,FRA
30415890,USA
30940189,CHN
24124451,DNK
14687272,USA
23075913,ZMB
27270237,BEL
27270237,CAN
27270237,DNK
27270237,ESP
27270237,POL
27270237,USA
19405969,SWE
29367449,JPN
29367471,JPN
27270348,KOR
27270348,USA
26221815,BRA
38280448,CHN
22551813,USA
22551813,ZAF
28319001,USA
26746140,GBR
26746140,USA
34610460,USA
26221889,CHN
26746242,USA
28319109,NZL
22027686,USA
20454851,USA
25697740,JPN
22027737,DEU
22552025,USA
19930587,USA
22552037,AUS
26746371,CAN
26746371,GBR
26746371,SWE
26746371,USA
24124951,USA
25173535,CHE
26746456,USA
30940760,BWA
30940760,FRA
30940760,GBR
30940760,MWI
30940760,UGA
30940760,USA
30940760,ZAF
30940760,ZWE
22552183,GBR
15736460,ITA
21503628,KOR
26222270,SWE
28319422,BRA
28319456,GBR
38805216,CAN
38805216,CHN
38805216,FRA
38805216,GBR
38805216,USA
19406576,USA
20979455,USA
20979470,CAN
20979470,GBR
20979470,USA
20979471,USA
35135323,NLD
35135323,USA
26222482,AUS
26222482,GBR
12066721,CHN
12066725,CHN
12066728,IRL
27795368,USA
27271087,JPN
27271087,KOR
27271087,TWN
11018164,FRA
35659713,IRN
19931075,ESP
38805444,BRA
38805444,MWI
38805444,USA
38805446,ARE
38805446,IND
38805446,MYS
38805446,SAU
20979675,USA
26222557,USA
23076837,USA
22552602,FRA
22552602,GBR
22552602,SAU
23601186,USA
24649831,USA
28319848,SWE
27271310,USA
28844193,DEU
28844193,DNK
28844193,FRA
28844193,GBR
28844193,HUN
28844193,JPN
28844193,NLD
28844193,SWE
28844193,USA
36184248,NOR
29368539,USA
24649963,USA
14688492,USA
26747132,ITA
26747132,THA
26747132,USA
26222846,USA
26222854,JPN
28844307,USA
24650009,GRC
24650009,RUS
24650009,USA
27271455,GRC
27271455,USA
25174321,USA
29892933,JPN
23077192,DNK
17310045,CAN
38805853,GBR
38805853,USA
12067168,CAN
12067171,NOR
28844471,USA
11018687,DEU
11018687,USA
15213038,USA
15213039,USA
15213041,DEU
15213041,JPN
15213041,USA
15213046,DNK
15213052,ESP
15213052,ITA
38806045,CHE
38806045,SGP
38806045,USA
28320331,NLD
31990350,AUS
31990350,CAN
31990350,GBR
31990350,MWI
31990350,NLD
21504616,IND
20980335,DEU
22028938,CAN
22028938,IND
22028938,KOR
22028938,SWE
22028938,VNM
26223257,ITA
27796131,GBR
27796131,KEN
27796131,USA
28320421,DNK
29893296,IND
28320482,GBR
20980456,USA
20980494,USA
30941975,SRB
31466276,USA
38806329,CHN
29893446,USA
24126295,AUS
24126295,USA
28320603,BRA
31466334,JPN
20980590,GBR
20980590,NLD
23602047,GBR
38806414,DEU
38806414,GBR
38806414,IRN
29369237,USA
20456355,ESP
20456355,USA
20980648,USA
20980657,VNM
38806461,DEU
28844992,GBR
19407810,USA
38806467,USA
26747845,USA
21504973,USA
27272161,ITA
38282225,USA
15213569,IND
35660812,FRA
35660812,GBR
35660812,USA
25175124,JPN
12067941,GBR
29893769,FRA
19932356,USA
28320978,JPN
23078120,CAN
28321001,JPN
19408119,USA
38806797,ARG
38806797,ITA
36709657,KEN
36709657,USA
21505316,USA
38806826,TUR
23078200,AUS
29369674,USA
32515412,BRA
32515413,BRA
38806870,CHN
38806882,ITA
37234022,CAN
37234022,DEU
37234022,NLD
34612589,GBR
20456815,BRA
20456815,GHA
20456815,USA
19932541,USA
38282651,PHL
22554024,CMR
22554024,FRA
23602601,DEU
23602601,ESP
23602601,FRA
23602601,GBR
23602601,KOR
23602601,RUS
23602601,USA
26748347,GBR
22554052,NZL
24126931,FRA
24126931,USA
26748391,NLD
22554092,FRA
22554092,GBR
22554092,THA
22554092,UGA
22554092,USA
12068338,CAN
38807035,CHE
38807035,GBR
38807035,IRL
38807035,USA
39331334,USA
38807059,CHN
38807062,IRN
30418475,ARG
30418475,ARM
30418475,AUS
30418475,BGR
30418475,BRA
30418475,CAN
30418475,CHE
30418475,CHL
30418475,CHN
30418475,COL
30418475,CZE
30418475,DEU
30418475,DNK
30418475,ESP
30418475,FIN
30418475,GBR
30418475,HRV
30418475,HUN
30418475,ISR
30418475,JPN
30418475,KOR
30418475,MEX
30418475,MYS
30418475,NLD
30418475,NOR
30418475,POL
30418475,PRT
30418475,ROU
30418475,RUS
30418475,TWN
30418475,UKR
30418475,USA
30418475,VEN
30418475,ZAF
39331373,AUS
39331373,CAN
15738432,GBR
16262733,IND
16262739,KEN
16262739,USA
16262741,NGA
25175658,BEL
38807146,CHN
26748537,AUS
26748537,NLD
24651386,GBR
22029979,USA
22029980,CAN
22029980,DEU
22029980,FRA
22029980,USA
30418593,GBR
30418593,UGA
30418593,USA
24127141,USA
26224299,NZL
23078574,USA
25175762,USA
22030088,USA
39331611,AUS
34088734,CAN
20981577,CAN
15738708,USA
29894491,AUT
25175921,AUS
25175921,AUT
25175921,CAN
25175921,DEU
25175921,DNK
25175921,DZA
25175921,ESP
25175921,FRA
25175921,GBR
25175921,HUN
25175921,ITA
25175921,NLD
25175921,SWE
22030225,GBR
25175981,NLD
25175985,DEU
25176015,USA
25700323,CHN
39331865,CHN
15738918,USA
29894705,BRA
29894705,CAN
29894705,DEU
29894705,USA
25176136,ITA
16263254,ESP
22554716,USA
27273347,CHE
27273347,DEU
26224792,CAN
35137696,USA
19409085,AUS
21506242,USA
23603409,USA
11020511,USA
33040610,GBR
11020518,ISR
26224879,USA
26749219,USA
22554931,AUS
22554931,AUT
22554931,CAN
22554931,GBR
22554931,IND
22554931,LKA
22554931,NZL
22554931,PAK
22554931,PHL
22554931,SGP
25176395,DNK
25176395,ISL
25176395,SWE
24652109,CAN
17312091,CHE
17312091,DEU
15214959,TUR
22030709,BRA
22030709,USA
22030715,CHE
35137935,IRN
25700754,GBR
25700754,GRC
25700754,NLD
25700754,USA
28322235,USA
29370827,GBR
28846541,JPN
16787931,FRA
29370844,BEL
29370844,FRA
29370844,MLI
29370844,NER
27797985,GBR
27797992,NOR
12069361,TWN
30943735,ITA
27798020,GBR
15215114,USA
28846633,USA
33565237,BRA
33565237,CAN
33565237,GBR
33565237,SWE
33565237,USA
25700931,NLD
26749529,KOR
28322414,JPN
33565303,THA
20458104,AUS
20458104,NZL
29371007,AUS
29371007,CHE
29371007,CHN
29371007,GBR
29371007,ITA
29371007,USA
17312403,USA
24128148,USA
28322476,DEU
39332538,GBR
39332538,UGA
39332538,USA
39332538,ZAF
30943939,GBR
24652494,AUS
24652494,BEL
24652494,BRA
24652494,COL
24652494,CRI
24652494,MEX
24652494,PHL
24652494,SGP
24652494,THA
24652494,USA
24652498,MWI
24652498,USA
27273941,CHN
19933915,CAN
27273951,USA
39332596,CHN
19933991,NLD
23604006,CAN
23604006,USA
27798330,USA
24652604,JPN
22031171,USA
29895500,IND
29895500,KOR
29895500,PHL
16264046,CAN
20458350,JPN
16264052,GBR
15215482,SWE
15215483,DEU
15215483,NLD
24652692,CHE
30944164,CAN
30944164,GBR
30944164,UGA
30944164,USA
30944164,ZWE
38808490,CHN
38808490,USA
30419893,GBR
30419893,KWT
19409854,DNK
19409854,FIN
19409854,NOR
19409854,SWE
23079898,AUS
12594144,TUR
12594145,ITA
27274213,GRC
29371379,FRA
30944249,USA
26225661,IRN
19409919,CAN
27798543,ESP
27798543,USA
11545630,USA
26225700,IRN
20458545,USA
24652865,IRL
24652865,USA
19934287,USA
19934290,CAN
19934290,USA
23080039,USA
26225780,IND
24128648,USA
20458640,NZL
22031525,USA
30420171,USA
25701620,POL
19934458,USA
39333121,CHN
39333121,USA
22031659,USA
39857475,JPN
39857481,USA
39857490,BRA
30420353,SWE
30420367,CHN
30420367,USA
26226067,USA
23080358,KEN
38284776,CHN
25701866,CHE
25701866,GBR
25701866,GMB
25701866,NGA
25701866,USA
27799203,FRA
27799203,MUS
27799203,USA
38809262,USA
35139271,BEL
35139271,BRA
35139271,NLD
35139271,USA
35139271,ZAF
17313507,LAO
17313511,GBR
17313511,VEN
38285030,CHN
38285031,USA
38809322,NOR
27799299,EGY
27799299,USA
26226446,USA
39333663,CHE
39333663,DEU
39333663,FRA
39333663,GBR
39333663,NLD
39333663,USA
20459349,CAN
27275104,IRN
35139487,CHN
38809554,AUS
38809554,CAN
18362366,AUS
18362366,ESP
18362366,POL
18362366,USA
39333992,CHN
39333999,CHN
28323952,ITA
28323952,USA
38285464,CHN
38285496,CHN
38285496,SWE
39334085,JPN
39334085,VNM
27799756,DEU
20459742,ETH
11022584,CAN
11022584,USA
20459775,DEU
39334160,GBR
39334160,MOZ
39334160,USA
39334160,ZAF
20459801,AUS
20459801,CAN
39334184,USA
15741225,FRA
15741226,NLD
20459818,NLD
20459856,NLD
30421335,USA
24654201,USA
25178568,USA
39334347,USA
27275735,USA
33567193,BEL
33567193,ITA
33567193,USA
27275742,CIV
27275742,USA
36188642,SAU
26751473,DNK
26751473,FRA
26751473,ITA
26751473,USA
26227186,JPN
19935771,FRA
17314337,GBR
17314338,BFA
19935778,USA
14692904,GBR
24130088,DEU
24130097,USA
24130124,USA
26227279,USA
38285910,USA
30945920,USA
38810255,CHE
38810255,DEU
38810255,LBN
38810255,NLD
38810255,ROU
15741590,USA
11023017,USA
25178809,CAN
25178809,KEN
25178809,MOZ
25178809,MWI
25178809,NER
25178809,NGA
25178809,SLE
25178809,UGA
25178809,ZAF
25178809,ZWE
20460232,NZL
24130255,USA
19935991,USA
27276035,AUS
27276035,CHE
27276035,DEU
27276035,GBR
27276035,NLD
27276035,PRT
27276035,USA
26751765,CHN
20460331,GBR
19936044,UGA
19936044,USA
39858993,KOR
24130355,AUS
24130355,GBR
18363201,USA
39859010,TUR
24130381,SAU
39859024,TUR
39859026,GBR
39859026,SVK
38286191,KOR
24130463,GHA
24130463,USA
38286258,GBR
38286258,GTM
38286258,IND
38286258,PER
38286258,RWA
38286258,USA
16790460,USA
28849089,GRC
28849089,ROU
27276234,KOR
16266223,CHL
25703424,DEU
25703424,FRA
25703424,GBR
25703424,ITA
25703424,SWE
25703424,USA
20460548,GBR
31470599,BHR
31470599,ITA
27800649,JPN
27800649,SWE
27800670,IRN
29897822,USA
29897851,USA
25179265,USA
25179265,ZAF
23082124,GBR
23082124,ZMB
30422157,USA
14693528,ZAF
19936408,USA
23082142,SVN
16790698,USA
38286518,GBR
26752189,CAN
26752189,CHE
26752189,DEU
26752189,ESP
26752189,FRA
26752189,GBR
26752189,USA
11547841,CHN
18363588,GBR
30422235,NLD
31470813,CHN
31470814,CHN
25179366,NLD
30422259,GBR
30422259,IND
30422259,NLD
30422259,USA
29373687,USA
29373687,ZAF
29898055,BRA
26228097,CHN
26228097,GBR
14693783,CHE
22558108,COD
22558108,DEU
22558108,NLD
22558108,NZL
27276707,CHN
27276707,FRA
25179587,USA
15742410,IND
15742421,CHN
29898217,ESP
29898217,USA
26752495,BRA
25179672,USA
38811199,JPN
30946888,USA
24655464,USA
24655465,USA
28849773,IND
29898352,IRN
28849779,USA
25179766,BEL
25179766,DEU
25179766,ESP
25179766,FIN
25179766,GBR
25179766,NLD
18364043,BFA
18364043,DEU
18364043,SWE
32519824,POL
27277002,IND
26228433,AUS
26228433,DEU
26228433,DNK
26228433,GBR
26228433,NLD
12596948,JOR
28849895,CHE
28849895,NLD
32519928,USA
26228480,KOR
26228480,USA
36190011,ARG
36190011,GBR
36190011,NLD
36190011,SGP
36190011,SWE
36190011,USA
29898585,ITA
14694237,MEX
14694237,USA
24655729,GBR
29898619,CHE
29898619,USA
30422909,USA
25180056,AUS
18364323,CHN
29898670,DEU
38811568,USA
29898677,DEU
28325826,USA
29898692,NLD
29898692,USA
24131528,AUS
23082956,AUS
26228686,CHN
27277262,IDN
27277262,USA
19412944,USA
18364392,USA
29898748,CHN
29898752,USA
24131587,SWE
29374469,DEU
24131606,USA
24131637,GBR
19413147,USA
38811813,IRL
27801789,ITA
28850367,GBR
28850367,USA
22034636,AUS
22034636,CHN
22034636,ISR
22034636,NLD
22034636,USA
22034637,AUS
22034637,ISR
22034637,USA
29374672,CHE
29374672,GBR
29374672,THA
29374672,USA
29374672,ZAF
25180378,NLD
27277555,MWI
27277555,USA
27277555,ZAF
27277555,ZMB
27277555,ZWE
22559011,GBR
14694695,GBR
23607593,AUS
23607593,CAN
23607593,USA
38811949,IRN
28326193,JPN
28326193,USA
28850488,SWE
38811983,IRN
38811983,TUR
38812014,CHN
26229119,USA
25180554,USA
25180558,USA
38812047,DEU
38812047,FIN
38812047,FRA
38812047,GBR
38812047,NLD
38812047,SWE
38812047,USA
12073414,ISR
19937752,USA
19413491,CAN
39336430,KOR
39336446,TWN
39336461,KOR
22559251,CHL
22559251,USA
22559260,ITA
23607837,USA
39336478,PAK
39336478,SAU
39336478,SWE
39336493,KOR
35666503,USA
35666503,WSM
39336519,MEX
17316434,GBR
17316441,NLD
30947938,JPN
31996555,USA
27802253,NOR
27802253,SWE
39336589,CZE
23607997,AUT
23607997,DEU
23607997,SWE
37239495,CHN
37239495,GBR
37239495,USA
38812357,USA
38812396,DNK
38812396,NLD
38812396,NZL
38812396,PAK
38812396,USA
21510896,AUS
21510896,USA
15743729,USA
21510905,BGD
21510905,USA
19938055,USA
37239562,BEL
37239562,FRA
37239562,USA
23608089,NOR
33569560,CAN
33569560,FRA
12598068,JPN
12598069,FRA
12598069,GBR
37239618,BRA
37239618,USA
37239634,FRA
37239634,TUN
36191093,ISR
36191093,USA
19938199,JPN
28851099,KOR
35666897,USA
22035427,GBR
22035427,IRL
38812644,TUR
14695409,FRA
26754071,GBR
31472669,CHN
22035508,JPN
21511223,NLD
21511226,DEU
12598341,GRC
12598344,DEU
12598347,ITA
12598354,CUB
22559856,IRN
28851314,JPN
28851317,USA
26754176,AUS
32521358,CAN
32521358,GBR
32521358,NLD
32521358,USA
28851345,NLD
22559906,USA
30948516,GBR
31472811,CAN
31472811,USA
28327086,NLD
12074178,CHN
28327114,NOR
28327122,AUS
28327122,DEU
28327122,USA
28851413,CAN
28851420,CHE
28851420,DEU
14695665,FIN
23084274,BEL
30948595,CHN
23084280,USA
30948606,GBR
28851462,DEU
17317135,NOR
22560018,USA
26754331,AUS
26754331,USA
12074271,JPN
27278636,NLD
38812998,TUR
25705822,MOZ
28327266,PER
28327266,USA
14695785,CHN
34094511,GBR
34094511,NZL
16268751,USA
39337423,ESP
39337423,ITA
16268753,USA
22560253,NLD
17317388,USA
17317391,USA
31473167,USA
31473172,USA
22036019,AUS
22036019,CHN
22036019,DEU
22036019,DNK
22036019,FIN
22036019,FRA
22036019,GBR
22036019,ITA
22036019,NLD
22036019,POL
22036019,SWE
22036019,USA
22036019,ZAF
28851789,NLD
27278933,CHN
28851798,JPN
28851799,AUS
28851799,NZL
28851800,CHN
21511783,CAN
19938921,USA
19414665,USA
21511818,USA
15220366,GRC
19938965,USA
35143325,CHE
35143325,ITA
35143325,NZL
35143325,USA
19414708,USA
12599047,USA
19414836,ITA
19414836,NLD
27803511,EGY
28327804,BRA
23084955,IRL
21512102,USA
38813614,GBR
17317857,USA
17317858,AUT
17317858,CHE
17317858,DEU
24133627,JPN
33046528,USA
29900819,GBR
38813715,USA
12075057,FRA
19415120,BFA
19415122,TUN
29900913,IND
19939445,GBR
19939445,KEN
19939445,UGA
19939445,USA
39338117,TUR
18366642,CHE
16793780,DEU
38289602,USA
20463812,CHE
20463812,GBR
25706743,USA
